,Msg_id,Chat_msg,Author_id,Time_stamp
0,933511064346320916,be bak to let uk lol,505653537422966785,2022-01-19T23:59:41.537000+00:00
1,933511054812655656,About 2000 left,426960502850322432,2022-01-19T23:59:39.264000+00:00
2,933511016036311111,6 of spades meh,667847860921827356,2022-01-19T23:59:30.019000+00:00
3,933510969487945758,got one nice,667847860921827356,2022-01-19T23:59:18.921000+00:00
4,933510927855255613,Fingers cross for your Ace!,809156377125322772,2022-01-19T23:59:08.995000+00:00
5,933510920548786216,I’m still On my way! Home,903411707173535744,2022-01-19T23:59:07.253000+00:00
6,933510906002948157,Someone check for me pls,903411707173535744,2022-01-19T23:59:03.785000+00:00
7,933510888818892820,How many left,903411707173535744,2022-01-19T23:58:59.688000+00:00
8,933510875250327624,If you want to trade a 6 of Diamonds haha,809156377125322772,2022-01-19T23:58:56.453000+00:00
9,933510811765313556,Sent,809156377125322772,2022-01-19T23:58:41.317000+00:00
10,933510772057841704,i appreciate that man fr,505653537422966785,2022-01-19T23:58:31.850000+00:00
11,933510741217144863,I got it! 🙂 Need a damn ace 😄,839257832348188706,2022-01-19T23:58:24.497000+00:00
12,933510676222214165,Sent,809156377125322772,2022-01-19T23:58:09.001000+00:00
13,933510565651955732,It says on mint site how many left,340196924818849806,2022-01-19T23:57:42.639000+00:00
14,933510550820909076,it says no mint pass found,667847860921827356,2022-01-19T23:57:39.103000+00:00
15,933510527135662130,guys what do i do?,667847860921827356,2022-01-19T23:57:33.456000+00:00
16,933510491236606024,And this was from earlier,201065786758922250,2022-01-19T23:57:24.897000+00:00
17,933510478313980014,Sent,809156377125322772,2022-01-19T23:57:21.816000+00:00
18,933510464363720735,You got???? How many in total did you mint?,788635725385433088,2022-01-19T23:57:18.490000+00:00
19,933510463046701167,.33 sol per card?,350222424471633921,2022-01-19T23:57:18.176000+00:00
20,933510346797379644,thanks man,505653537422966785,2022-01-19T23:56:50.460000+00:00
21,933510343634845697,guys how do i fix it?,667847860921827356,2022-01-19T23:56:49.706000+00:00
22,933510326312382524,5c4ewC5Yu8xpUoCHgBeRuShcchxHCEiqTcEGSR8u9Kq3,505653537422966785,2022-01-19T23:56:45.576000+00:00
23,933510296507645952,And the fact that 3160 already have been redeemed,806972789641838613,2022-01-19T23:56:38.470000+00:00
24,933510286936260638,,809156377125322772,2022-01-19T23:56:36.188000+00:00
25,933510280317648918,found,667847860921827356,2022-01-19T23:56:34.610000+00:00
26,933510280011477012,"Can someone give me two more tokens ?
DDVsWF1VBN8m7cWZH7A75zT26ahHaArUveEuhKUVN5hh",893760208722075648,2022-01-19T23:56:34.537000+00:00
27,933510260822515823,im confused it says no mint pass,667847860921827356,2022-01-19T23:56:29.962000+00:00
28,933510252761083934,Yes,839257832348188706,2022-01-19T23:56:28.040000+00:00
29,933510128521584660,Frrr,201065786758922250,2022-01-19T23:55:58.419000+00:00
30,933510120153972806,"ok what's your wallet,",809156377125322772,2022-01-19T23:55:56.424000+00:00
31,933510068341727265,really? just 1 all i got enough for now,505653537422966785,2022-01-19T23:55:44.071000+00:00
32,933510066349424670,FULL HOUSE beat it!!!,899102186083057684,2022-01-19T23:55:43.596000+00:00
33,933509988243079260,how many do you want?,809156377125322772,2022-01-19T23:55:24.974000+00:00
34,933509951505174628,Wish I had more liq to mint more LOL,198293701888442379,2022-01-19T23:55:16.215000+00:00
35,933509936707690496,how many do you want?,809156377125322772,2022-01-19T23:55:12.687000+00:00
36,933509935591989259,i would love to mint one if anyone has a token,505653537422966785,2022-01-19T23:55:12.421000+00:00
37,933509906672279562,I am almost home,903411707173535744,2022-01-19T23:55:05.526000+00:00
38,933509878285213726,Anyone can see how many are left,903411707173535744,2022-01-19T23:54:58.758000+00:00
39,933509873893797898,,809156377125322772,2022-01-19T23:54:57.711000+00:00
40,933509842809806919,what is the use of this card? any benefit holding them?,761300807500693617,2022-01-19T23:54:50.300000+00:00
41,933509807015596052,"Seems like once the public really wakes up about this, it will be too late for them to get",806972789641838613,2022-01-19T23:54:41.766000+00:00
42,933509803882459227,I am one!,809156377125322772,2022-01-19T23:54:41.019000+00:00
43,933509747846557766,sent,809156377125322772,2022-01-19T23:54:27.659000+00:00
44,933509735951523850,people seding out mint tokens?,505653537422966785,2022-01-19T23:54:24.823000+00:00
45,933509721506316418,I am 📈,201065786758922250,2022-01-19T23:54:21.379000+00:00
46,933509721208537118,looking for another 5 card hand,462110696499314698,2022-01-19T23:54:21.308000+00:00
47,933509700371238943,if anyone has spare tokens:  6i7pzwbs231wvCCqQo8U2oX2BC7kxtZ2n7fSYHvF7Hvw,462110696499314698,2022-01-19T23:54:16.340000+00:00
48,933509677529038898,Idk,806972789641838613,2022-01-19T23:54:10.894000+00:00
49,933509665239752714,Im kinda bullish,806972789641838613,2022-01-19T23:54:07.964000+00:00
50,933509662265970698,Wish it was worth a try,893760208722075648,2022-01-19T23:54:07.255000+00:00
51,933509655026622485,Lowkey,806972789641838613,2022-01-19T23:54:05.529000+00:00
52,933509649330753588,Lol,806972789641838613,2022-01-19T23:54:04.171000+00:00
53,933509646222766150,LEGEND,198293701888442379,2022-01-19T23:54:03.430000+00:00
54,933509603101114438,sending you some,809156377125322772,2022-01-19T23:53:53.149000+00:00
55,933509553461542933,what are the coins for?,833614973531062292,2022-01-19T23:53:41.314000+00:00
56,933509541889445938,"I will get dropped ""Coins""",833614973531062292,2022-01-19T23:53:38.555000+00:00
57,933509518460067860,if i hold the NFT,833614973531062292,2022-01-19T23:53:32.969000+00:00
58,933509508678955038,for this project,833614973531062292,2022-01-19T23:53:30.637000+00:00
59,933509490500845588,EfYNa99fsHSScw3dR6U7zaKFjKVNmQyNXLVuibch5Msg,839257832348188706,2022-01-19T23:53:26.303000+00:00
60,933509478337372161,Can I get 6 more tokens plz?,839257832348188706,2022-01-19T23:53:23.403000+00:00
61,933509451233787975,I filled out the form..am I good now?,795868266114580481,2022-01-19T23:53:16.941000+00:00
62,933509429586964490,Will the poker room be out after mint to access or is it not finished yet?,221107253715927040,2022-01-19T23:53:11.780000+00:00
63,933509426479001600,Just minted 5 and got twice the same haha. I have 20 tokens left that I am happy to send over!,809156377125322772,2022-01-19T23:53:11.039000+00:00
64,933509425359114260,ok even dozen,899102186083057684,2022-01-19T23:53:10.772000+00:00
65,933509391431397446,Idk about public,201065786758922250,2022-01-19T23:53:02.683000+00:00
66,933509340139229185,For presale you need a token,201065786758922250,2022-01-19T23:52:50.454000+00:00
67,933509269523943494,did i read right that we'll need a public token to mint public,505653537422966785,2022-01-19T23:52:33.618000+00:00
68,933509242260946974,Quiet?,198293701888442379,2022-01-19T23:52:27.118000+00:00
69,933509174195793950,Who quiet ??,201065786758922250,2022-01-19T23:52:10.890000+00:00
