,Msg_id,Chat_msg,Author_id,Time_stamp
0,969744365859799051,are you ugys having trouble minting,422179781917016067,2022-04-29T23:37:53.800000+00:00
1,969737161333153862,"I got the fail error too, but you go back to home page and your sol is gone and the cogs there",389352717820100611,2022-04-29T23:09:16.107000+00:00
2,969736745316925471,Network congestion,480571631060647936,2022-04-29T23:07:36.921000+00:00
3,969734214402605078,Any reason why minting would fail? (yes I have a whitelist token and .91 SOL in my wallet 🙂 ),856944700626698321,2022-04-29T22:57:33.504000+00:00
4,969730282066411570,💪 🦾 <a:4flex:917096154313932861>,363077025675870208,2022-04-29T22:41:55.962000+00:00
5,969727281725591562,that is bullish af,486630667992432644,2022-04-29T22:30:00.625000+00:00
6,969727256463298600,Cogent validator is ranked #2 on performance,486630667992432644,2022-04-29T22:29:54.602000+00:00
7,969723977629073488,Looking forward to mint more ser,913032516657623071,2022-04-29T22:16:52.867000+00:00
8,969723965872431154,also https://stakewiz.com,480571631060647936,2022-04-29T22:16:50.064000+00:00
9,969723927142219836,https://stakeview.app,480571631060647936,2022-04-29T22:16:40.830000+00:00
10,969723825136730203,Solana beach validators  - you can search the above,913032516657623071,2022-04-29T22:16:16.510000+00:00
11,969723801862537307,🙂,480571631060647936,2022-04-29T22:16:10.961000+00:00
12,969723633826140221,the art is amazing,486630667992432644,2022-04-29T22:15:30.898000+00:00
13,969723586338250752,"Got my cogent, feeling happy",486630667992432644,2022-04-29T22:15:19.576000+00:00
14,969722959134593114,does anyone know of somewhere that we can view a directory of nodes and their current commissions?,910977971827925064,2022-04-29T22:12:50.039000+00:00
15,969701886338957463,hi,462987942353305600,2022-04-29T20:49:05.893000+00:00
16,969683242758316082,hi,334749000479801355,2022-04-29T19:35:00.917000+00:00
17,969683171308347442,"Ah yeh got it, thanks!",369131005199777792,2022-04-29T19:34:43.882000+00:00
18,969682946783068291,Still haven’t received the WL token yet. Should I be concerned?,796398493714612274,2022-04-29T19:33:50.351000+00:00
19,969678442574536725,so sure per month if you are calculating the monthly revenue.  But not .01 times 12 for the year,909171600404938812,2022-04-29T19:15:56.464000+00:00
20,969678092530499674,"WOW, GOT THIS",967172467401576489,2022-04-29T19:14:33.007000+00:00
21,969677968291016795,.01% of validator revenue.  Once commission starts in 2023,909171600404938812,2022-04-29T19:14:03.386000+00:00
22,969675655203680357,haha okey man thanks,467818485616214026,2022-04-29T19:04:51.903000+00:00
23,969672703252512809,I’m honestly not too sure. I could be wrong tho 🤷🏽‍♂️,363077025675870208,2022-04-29T18:53:08.103000+00:00
24,969672629541830666,"Idts lol. That would be like 2,543.24 SOL a month",363077025675870208,2022-04-29T18:52:50.529000+00:00
25,969672280647012402,0.01 per month ?,467818485616214026,2022-04-29T18:51:27.346000+00:00
26,969672130914574436,.01% per cog,363077025675870208,2022-04-29T18:50:51.647000+00:00
27,969672044021182544,Hi,208647717595906048,2022-04-29T18:50:30.930000+00:00
