,Msg_id,Chat_msg,Author_id,Time_stamp
0,1001277591572979733,"ahh 
i think no",960219216630411285,2022-07-25T23:59:40.669000+00:00
1,1001277561390776331,it is what it is,721926002422448219,2022-07-25T23:59:33.473000+00:00
2,1001277553304146070,"will be not soon
so long and cold hold",960221473010757674,2022-07-25T23:59:31.545000+00:00
3,1001277548396826724,"I mean if you have wl but no liquidity, we can collab",791796848967942184,2022-07-25T23:59:30.375000+00:00
4,1001277348890554479,"so long 
but i ready to hold
it is mean that chillchat metaworld",960221473010757674,2022-07-25T23:58:42.809000+00:00
5,1001277306108649552,exactly,721926002422448219,2022-07-25T23:58:32.609000+00:00
6,1001277247954628629,but how collab,960219216630411285,2022-07-25T23:58:18.744000+00:00
7,1001277195454529576,"333/60 = 5,55
it is mean that half year",960221473010757674,2022-07-25T23:58:06.227000+00:00
8,1001277179654574210,CosplayX',791796848967942184,2022-07-25T23:58:02.460000+00:00
9,1001277107676135465,what project?,960219216630411285,2022-07-25T23:57:45.299000+00:00
10,1001277102450036757,maybe fully revealed after 5-6months,721926002422448219,2022-07-25T23:57:44.053000+00:00
11,1001277100663263262,I'll bring liq,791796848967942184,2022-07-25T23:57:43.627000+00:00
12,1001277040361750659,"and if 15 in week 
60 per month",960221473010757674,2022-07-25T23:57:29.250000+00:00
13,1001277020434616320,anyone wants to collab with me for the mint?,791796848967942184,2022-07-25T23:57:24.499000+00:00
14,1001276846408749086,hey mate,960212036233592893,2022-07-25T23:56:43.008000+00:00
15,1001276824866787408,https://tenor.com/view/dance-girl-happy-dance-moves-happy-dance-shades-on-gif-16714281,960219216630411285,2022-07-25T23:56:37.872000+00:00
16,1001276816994095205,holla,791796848967942184,2022-07-25T23:56:35.995000+00:00
17,1001276723834396773,"so long hold
like a 3 month will be reveal
maybe more than 3
6 maybe",960221473010757674,2022-07-25T23:56:13.784000+00:00
18,1001276716230115338,,721926002422448219,2022-07-25T23:56:11.971000+00:00
19,1001276203006693396,hope hope 🙂,960212036233592893,2022-07-25T23:54:09.609000+00:00
20,1001276199118590032,I'm so bullish that we will mint out,754917798517407786,2022-07-25T23:54:08.682000+00:00
21,1001276089773084722,gl on mint boyz,960221473010757674,2022-07-25T23:53:42.612000+00:00
22,1001276083674550412,Sure,754917798517407786,2022-07-25T23:53:41.158000+00:00
23,1001276061990006835,let the game begins!,721926002422448219,2022-07-25T23:53:35.988000+00:00
24,1001276020076331129,same,960219216630411285,2022-07-25T23:53:25.995000+00:00
25,1001276009867378728,https://tenor.com/view/jennifer-lawrence-the-mocking-jay-the-hunger-games-hunger-games-mocking-jay-gif-17322681,754917798517407786,2022-07-25T23:53:23.561000+00:00
26,1001275992591040512,i think it will be full minted,960212036233592893,2022-07-25T23:53:19.442000+00:00
27,1001275989642449006,yeah correct,721926002422448219,2022-07-25T23:53:18.739000+00:00
28,1001275945673560094,ahh okk,960221473010757674,2022-07-25T23:53:08.256000+00:00
29,1001275940451663882,So if all mints only 45 will be left for silverlist,754917798517407786,2022-07-25T23:53:07.011000+00:00
30,1001275847963058217,"On me CosplayX launchpad,  Goldenlist  + origins is 255",754917798517407786,2022-07-25T23:52:44.960000+00:00
31,1001275736881111132,"in every deal
fastest wins",960212036233592893,2022-07-25T23:52:18.476000+00:00
32,1001275680941690952,Only the fastest then wins,754917798517407786,2022-07-25T23:52:05.139000+00:00
33,1001275660565741648,"why 45 
50",960221473010757674,2022-07-25T23:52:00.281000+00:00
34,1001275625111310387,rly,960219216630411285,2022-07-25T23:51:51.828000+00:00
35,1001275611643392170,Manual AIO,754917798517407786,2022-07-25T23:51:48.617000+00:00
36,1001275604911542302,45 pcs will be left for silverlist if all goldenlist will mint,721926002422448219,2022-07-25T23:51:47.012000+00:00
37,1001275573575893082,i think only u and <@960219216630411285> need luck,960221473010757674,2022-07-25T23:51:39.541000+00:00
38,1001275526536773662,by luck,721926002422448219,2022-07-25T23:51:28.326000+00:00
39,1001275499898740827,You too<3,754917798517407786,2022-07-25T23:51:21.975000+00:00
40,1001275454583476304,"how u will mint man?
hands or...",960219216630411285,2022-07-25T23:51:11.171000+00:00
41,1001275423298170920,!diamomdlist,754917798517407786,2022-07-25T23:51:03.712000+00:00
42,1001275420345376778,hahaha goodluck boiz,721926002422448219,2022-07-25T23:51:03.008000+00:00
43,1001275359645413387,ahahah guys,960221473010757674,2022-07-25T23:50:48.536000+00:00
44,1001275353400090644,Yeah you rug xD,754917798517407786,2022-07-25T23:50:47.047000+00:00
45,1001275295250272328,!diomondlist,960219216630411285,2022-07-25T23:50:33.183000+00:00
46,1001275288535191632,not working hahaha,721926002422448219,2022-07-25T23:50:31.582000+00:00
47,1001275278351413258,No command as that,754917798517407786,2022-07-25T23:50:29.154000+00:00
48,1001275235330424932,hahahah,960221473010757674,2022-07-25T23:50:18.897000+00:00
49,1001275215935967252,!silverlist,721926002422448219,2022-07-25T23:50:14.273000+00:00
50,1001275175322525768,https://cdn.discordapp.com/attachments/993693453936496680/993693737404334230/goldenlist.gif,945434030189469776,2022-07-25T23:50:04.590000+00:00
51,1001275173292478535,!goldenlist,960219216630411285,2022-07-25T23:50:04.106000+00:00
52,1001275135501811743,https://i.giphy.com/media/SxPvOBDFhNlrkohGFl/giphy.webp,945434030189469776,2022-07-25T23:49:55.096000+00:00
53,1001275133866024990,!anya,960212036233592893,2022-07-25T23:49:54.706000+00:00
54,1001275119555063839,yeah very excited,721926002422448219,2022-07-25T23:49:51.294000+00:00
55,1001275071685468180,only 17 hours left,960221473010757674,2022-07-25T23:49:39.881000+00:00
56,1001275064668409886,https://cdn.discordapp.com/attachments/993693453936496680/993693760061964349/wakuwaku.gif,945434030189469776,2022-07-25T23:49:38.208000+00:00
57,1001275063087149168,!wakuwaku,754917798517407786,2022-07-25T23:49:37.831000+00:00
58,1001274939397132369,with chinese whales,960219216630411285,2022-07-25T23:49:08.341000+00:00
59,1001274924406669415,mint day 👀,721926002422448219,2022-07-25T23:49:04.767000+00:00
60,1001274834052980747,i think smth like a chat,960219216630411285,2022-07-25T23:48:43.225000+00:00
61,1001274757917974578,"What's that?

Yeah, you can help the community  expand",754917798517407786,2022-07-25T23:48:25.073000+00:00
62,1001274646903148664,u can,960221473010757674,2022-07-25T23:47:58.605000+00:00
63,1001274632889978910,Ayo what's up@空投致富 )(* VIP5#3764,754917798517407786,2022-07-25T23:47:55.264000+00:00
64,1001274625432502292,ahahh i hope i`ll mint and then moon,960219216630411285,2022-07-25T23:47:53.486000+00:00
65,1001274608990826576,I can get this great project on Chinese whale 🇨🇳,997972817758916679,2022-07-25T23:47:49.566000+00:00
66,1001274560924098610,same situation,960221473010757674,2022-07-25T23:47:38.106000+00:00
67,1001274555798650970,"You might probably  need more sol

We're  going to the moon",754917798517407786,2022-07-25T23:47:36.884000+00:00
68,1001274538354548818,Hello everyone,997972817758916679,2022-07-25T23:47:32.725000+00:00
69,1001274412974219324,"i think if secondary will be less than 5 
i`ll snipe",960219216630411285,2022-07-25T23:47:02.832000+00:00
70,1001274409262252073,"I'll love yo see <@123971098697007105> in holder's chat 

LFG",754917798517407786,2022-07-25T23:47:01.947000+00:00
71,1001274316635246625,Depending on price,123971098697007105,2022-07-25T23:46:39.863000+00:00
72,1001274271202562050,do u plan to snipe one on secondary?,960221473010757674,2022-07-25T23:46:29.031000+00:00
73,1001274252810530856,"Yeah, we love each other",754917798517407786,2022-07-25T23:46:24.646000+00:00
74,1001274197420556318,rly,960221473010757674,2022-07-25T23:46:11.440000+00:00
75,1001274176537116692,Just have fun with us,754917798517407786,2022-07-25T23:46:06.461000+00:00
76,1001274142265454632,ahah,960219216630411285,2022-07-25T23:45:58.290000+00:00
77,1001274125941219418,F G guys,123971098697007105,2022-07-25T23:45:54.398000+00:00
78,1001274049550352445,yep,960221473010757674,2022-07-25T23:45:36.185000+00:00
79,1001274044139704350,"Yes, wallet submission  is closed already",754917798517407786,2022-07-25T23:45:34.895000+00:00
80,1001274023231103077,"so late 
all spots filled up",960219216630411285,2022-07-25T23:45:29.910000+00:00
81,1001273963072192662,,754917798517407786,2022-07-25T23:45:15.567000+00:00
82,1001273954767474818,Is it to late to get WL?,123971098697007105,2022-07-25T23:45:13.587000+00:00
83,1001273897934672012,rly,960221473010757674,2022-07-25T23:45:00.037000+00:00
84,1001273892519804968,Yes 5pm UTC,754917798517407786,2022-07-25T23:44:58.746000+00:00
