,Msg_id,Chat_msg,Author_id,Time_stamp
0,1003089604179660931,Hope they come up with smth,943111357912449064,2022-07-30T23:59:58.140000+00:00
1,1003089589940011019,Hi,947898917490675742,2022-07-30T23:59:54.745000+00:00
2,1003089576883146853,"Im doing good today, thanks for asking. Bty, Im pretty newbie here",953786914538938419,2022-07-30T23:59:51.632000+00:00
3,1003089575901671525,Thank you very much 🧡🧡🧡🧡,966677845910900736,2022-07-30T23:59:51.398000+00:00
4,1003089560160456735,H,534036251548844042,2022-07-30T23:59:47.645000+00:00
5,1003089559652933652,Wen wl,948835614302801970,2022-07-30T23:59:47.524000+00:00
6,1003089533795041301,guys wait 2 winner <@1002435808063664178> founder is bussy,835918049156661279,2022-07-30T23:59:41.359000+00:00
7,1003089529957257236,Bro,940890298463158302,2022-07-30T23:59:40.444000+00:00
8,1003089522139070495,tnx you toooo💖,942282971988238336,2022-07-30T23:59:38.580000+00:00
9,1003089481026502656,Hi Friends... Im From Primates... Where is primates channel for collab?,889490551609638922,2022-07-30T23:59:28.778000+00:00
10,1003089444355723294,good day sir👋🏻 hope u have a nice day..,943015026724315156,2022-07-30T23:59:20.035000+00:00
11,1003089415167557752,"good,,,",966677845910900736,2022-07-30T23:59:13.076000+00:00
12,1003089414785872033,IM Raiding like a mf !!,946513354128756846,2022-07-30T23:59:12.985000+00:00
13,1003089404170084413,We all gonna be red dead redemption,180914354290425856,2022-07-30T23:59:10.454000+00:00
14,1003089374851903540,Yep,669482435762716672,2022-07-30T23:59:03.464000+00:00
15,1003089368396877894,<#1002953150149439590>,542951099573993482,2022-07-30T23:59:01.925000+00:00
16,1003089359467200593,hay,953808063444443217,2022-07-30T23:58:59.796000+00:00
17,1003089343453331516,jko,934363857395286107,2022-07-30T23:58:55.978000+00:00
18,1003089339124822086,Wassup mare,943932688698589184,2022-07-30T23:58:54.946000+00:00
19,1003089338965434408,fine man how are you,942836431284502568,2022-07-30T23:58:54.908000+00:00
20,1003089313640226866,Heyaaa hows you,943212537120432218,2022-07-30T23:58:48.870000+00:00
21,1003089311014596658,Hi,642923586885255168,2022-07-30T23:58:48.244000+00:00
22,1003089310851014686,How are you my mannn,942738788109680680,2022-07-30T23:58:48.205000+00:00
23,1003089310364483604,Sup green friend,311850602521034753,2022-07-30T23:58:48.089000+00:00
24,1003089301971685426,👀,180914354290425856,2022-07-30T23:58:46.088000+00:00
25,1003089291020357762,Heyy,966677845910900736,2022-07-30T23:58:43.477000+00:00
26,1003089276835205230,what f you didnt verify you cant here!1,943212537120432218,2022-07-30T23:58:40.095000+00:00
27,1003089263321153618,Sup,944771314600783922,2022-07-30T23:58:36.873000+00:00
28,1003089255712702555,hi,934363857395286107,2022-07-30T23:58:35.059000+00:00
29,1003089248053895279,I do it too,942282971988238336,2022-07-30T23:58:33.233000+00:00
30,1003089243498877048,Ahahahah😂yeah🥺,953808063444443217,2022-07-30T23:58:32.147000+00:00
31,1003089242093801573,Which kinda,942311170059157575,2022-07-30T23:58:31.812000+00:00
32,1003089239656898651,<#1002999541634711643> guys check,835918049156661279,2022-07-30T23:58:31.231000+00:00
33,1003089237316468756,Perfect dude keep going like that,943212537120432218,2022-07-30T23:58:30.673000+00:00
34,1003089216219132035,cold coffee,943111357912449064,2022-07-30T23:58:25.643000+00:00
35,1003089213287305267,Hey where s the primates channel?,352927723146182668,2022-07-30T23:58:24.944000+00:00
36,1003089212276478064,am,303750675828047872,2022-07-30T23:58:24.703000+00:00
37,1003089175920254986,we all are supper here and this community is rock and the project will be the moon hhaha,966677845910900736,2022-07-30T23:58:16.035000+00:00
38,1003089173055553556,Nochot fk off😂,943212537120432218,2022-07-30T23:58:15.352000+00:00
39,1003089149110263819,<#1002938048385925150>,958530830848897045,2022-07-30T23:58:09.643000+00:00
