,Proj_name,No_of_msgs,No_of_unq_users,frac_neg,frac_neu,frac_pos,mean_sentiment,Mint_price,Total_supply,Floor_price
0,AI_Degens,6608,463,0.0360169491525423,0.7336561743341404,0.2303268765133171,0.1943099273607748,0.09,3333,0.5
1,Space_warlock,17892,1588,0.050972501676727,0.6737089201877934,0.2753185781354795,0.2243460764587525,1.25,5500,0.25
2,Gari_Panda,86,16,0.0465116279069767,0.7558139534883721,0.1976744186046511,0.1511627906976744,2.0,9999,2.0
3,CoralTribe,65217,6051,0.0703190885811981,0.6503212352607449,0.2793596761580569,0.2090405875768587,1.8,6365,5.5
4,MetaFigz,2597,409,0.0773969965344628,0.6919522525991528,0.2306507508663842,0.1532537543319214,1.25,555,1.75
5,Minnions_of_Mooba,586,76,0.0409556313993174,0.742320819112628,0.2167235494880546,0.1757679180887372,0.0,1100,5.0
6,The_Stonned_Frogs,108632,7659,0.0451064143162235,0.6843931806465866,0.2705004050371897,0.2253939907209662,1.75,8400,4.0
7,TENAKI_APES,2757,225,0.1171563293434893,0.6666666666666666,0.216177003989844,0.0990206746463547,1.0,2222,2.0
8,Reels_of_change,13571,1249,0.0476015032053643,0.7310441382359443,0.2213543585586913,0.1737528553533269,1.5,3333,4.2
9,Solana_Hills,31575,3333,0.0999841646872525,0.5726682501979414,0.327347585114806,0.2273634204275534,1.5,3333,1.55
10,Guild_saga,8895,2589,0.0563237774030354,0.6661045531197302,0.2775716694772344,0.2212478920741989,1.5,10000,1.6
11,Gemmy,2782,837,0.0898634076204169,0.6391085549964055,0.2710280373831775,0.1811646297627606,0.169,5000,0.28
12,Cogent_crypto,234,59,0.1025641025641025,0.5170940170940171,0.3803418803418803,0.2777777777777778,0.9,1500,1.49
13,Blocksmith_labs,14689,3159,0.1152563142487575,0.6044659268840629,0.2802777588671795,0.1650214446184219,2.2,4444,4.0
14,Communi3,32450,7828,0.0824036979969183,0.6261633281972265,0.2914329738058551,0.2090292758089368,2.0,5001,48.9
15,Degen_fat_cats,61810,3091,0.0557838537453486,0.734088335220838,0.2101278110338133,0.1543439572884646,9.99,3885,20.0
16,KikiVerse,5477,1121,0.0507577140770494,0.7630089465035603,0.1862333394193902,0.1354756253423407,0.5,10000,3.0
17,PlaneX,918,298,0.0315904139433551,0.7200435729847494,0.2483660130718954,0.2167755991285403,0.042,3333,0.1
18,Pugging_Awesome_DAO,3549,563,0.039447731755424,0.7269653423499577,0.2335869258946182,0.1941391941391941,2.0,5555,1.3
19,SkellyDAO,1514,133,0.1175693527080581,0.6472919418758256,0.2351387054161162,0.1175693527080581,0.1,5000,0.3
20,Uder_chaoss,10706,1387,0.120493181393611,0.6268447599476928,0.252662058658696,0.132168877265085,2.0,6666,3.5
21,bohemia_chat,5075,1110,0.0666009852216748,0.6610837438423646,0.2723152709359606,0.2057142857142857,1.8,5000,3.4
22,cosmic_ape_gen_chat,9138,2026,0.0755088640840446,0.6440140074414533,0.280477128474502,0.2049682643904574,2.0,4888,6.4
23,parrot_chat,18450,2830,0.0452574525745257,0.7747967479674797,0.1799457994579945,0.1346883468834688,1.88,6500,2.5
24,froots_general,4351,853,0.0317168467019076,0.7756837508618708,0.1925994024362215,0.1608825557343139,2.75,7777,3.5
25,eternal_dragons_general,5068,805,0.0661010260457774,0.6550907655880032,0.2788082083662194,0.212707182320442,2.0,1000,5.0
26,Monkai,969,514,0.0154798761609907,0.8018575851393189,0.1826625386996904,0.1671826625386996,2.6,6666,5.5
27,Suit_cats,2136,656,0.022003745318352,0.7205056179775281,0.2574906367041198,0.2354868913857677,1.5,2000,6.67
28,lifinity_general_chat,120,44,0.1333333333333333,0.55,0.3166666666666666,0.1833333333333333,1.5,10000,3.79
