,Msg_id,Chat_msg,Author_id,Time_stamp
0,9.62783E+17,😁,8.9317E+17,2022-04-10T18:35:56.733000+00:00
1,9.62783E+17,"No, am here <a:eyeshake:953608204212899851>",9.33352E+17,2022-04-10T18:35:54.797000+00:00
2,9.62783E+17,Your gone ?,8.9317E+17,2022-04-10T18:35:36.551000+00:00
3,9.62782E+17,Good,8.9317E+17,2022-04-10T18:33:25.680000+00:00
4,9.62782E+17,How's you PANDA 🐼,9.33352E+17,2022-04-10T18:33:05.704000+00:00
5,9.62782E+17,I love Punjab,8.9317E+17,2022-04-10T18:32:48.178000+00:00
6,9.62782E+17,Wow . Great,8.9317E+17,2022-04-10T18:32:36.440000+00:00
7,9.62782E+17,Punjab 🙂,9.33352E+17,2022-04-10T18:32:25.442000+00:00
8,9.62782E+17,You are from which state ?,8.9317E+17,2022-04-10T18:32:08.736000+00:00
9,9.62782E+17,Nice,9.33352E+17,2022-04-10T18:31:52.775000+00:00
10,9.62782E+17,From Kerala,8.9317E+17,2022-04-10T18:30:36.685000+00:00
11,9.62782E+17,I am too,8.9317E+17,2022-04-10T18:30:32.149000+00:00
12,9.62782E+17,And You,9.33352E+17,2022-04-10T18:30:29.194000+00:00
13,9.62782E+17,India,9.33352E+17,2022-04-10T18:30:25.853000+00:00
14,9.62782E+17,Where are you from bro ?,8.9317E+17,2022-04-10T18:30:16.403000+00:00
15,9.62782E+17,"Nm, it's deep Night here",9.33352E+17,2022-04-10T18:30:01.859000+00:00
16,9.62781E+17,How about you bro ?,8.9317E+17,2022-04-10T18:29:46.093000+00:00
17,9.62781E+17,Better than last week,8.9317E+17,2022-04-10T18:29:40.751000+00:00
18,9.62781E+17,With busy schedule and works,8.9317E+17,2022-04-10T18:29:25.890000+00:00
19,9.62781E+17,I very good,8.9317E+17,2022-04-10T18:29:13.117000+00:00
20,9.62781E+17,"Am good too 
How's the weekend going",9.33352E+17,2022-04-10T18:28:50.393000+00:00
21,9.62781E+17,How are you ?,8.9317E+17,2022-04-10T18:28:15.078000+00:00
22,9.62781E+17,I am good bro,8.9317E+17,2022-04-10T18:28:09.447000+00:00
23,9.62781E+17,"Hey <@893169980370214992> 
Wass Up Buddy",9.33352E+17,2022-04-10T18:27:30.110000+00:00
24,9.62779E+17,Akshay,8.9317E+17,2022-04-10T18:21:51.593000+00:00
25,9.62779E+17,My name is,8.9317E+17,2022-04-10T18:21:47.108000+00:00
26,9.62779E+17,How are you all ?,8.9317E+17,2022-04-10T18:21:24.869000+00:00
27,9.62779E+17,Guyz,8.9317E+17,2022-04-10T18:21:16.860000+00:00
28,9.62779E+17,,1.55149E+17,2022-04-10T18:21:05.919000+00:00
29,9.62779E+17,Hi,8.9317E+17,2022-04-10T18:21:05.706000+00:00
30,9.62754E+17,"Ugh , let's have a game 
<#956233292514983987>",9.33352E+17,2022-04-10T16:39:21.119000+00:00
31,9.62753E+17,too boring 😫,5.62262E+17,2022-04-10T16:37:14.717000+00:00
32,9.6275E+17,"Nice , how's the weekend going",9.33352E+17,2022-04-10T16:25:42.227000+00:00
33,9.6275E+17,just finished dinner,5.62262E+17,2022-04-10T16:24:05.254000+00:00
34,9.6275E+17,"Hey 🐼
WassUp",9.33352E+17,2022-04-10T16:23:43.884000+00:00
35,9.62749E+17,<:emoji_19:950672567272894464>,5.62262E+17,2022-04-10T16:22:31.585000+00:00
36,9.62749E+17,🐼,5.62262E+17,2022-04-10T16:22:27.856000+00:00
37,9.62749E+17,,1.55149E+17,2022-04-10T16:22:02.760000+00:00
38,9.62749E+17,hi,5.62262E+17,2022-04-10T16:22:02.681000+00:00
39,9.62738E+17,<a:7071redflames:953606239240192030>,9.33352E+17,2022-04-10T15:37:17.944000+00:00
40,9.62738E+17,Can't wait to see it,9.1182E+17,2022-04-10T15:36:48.473000+00:00
41,9.62731E+17,"Hey Folks
We are wrapping the work for taking KYC live for international users. It should be live any moment from now, we will notify the community via announcement once we take it live.",9.33352E+17,2022-04-10T15:11:04.130000+00:00
42,9.62709E+17,"Hey 🐼
Wassup",9.33352E+17,2022-04-10T13:41:38.065000+00:00
43,9.62708E+17,Hey fam,9.36432E+17,2022-04-10T13:38:30.941000+00:00
44,9.62703E+17,thanks!,1.57583E+17,2022-04-10T13:17:13.660000+00:00
45,9.62696E+17,"As all NFTs are not minted, platforms are working on building an index into their system to recognise the minted Pandas. As soon as its done, we will be communicated and markets will be opened.",9.33352E+17,2022-04-10T12:49:53.152000+00:00
46,9.62696E+17,When are you going to go public? You're a little slow,9.09811E+17,2022-04-10T12:49:13.300000+00:00
47,9.62696E+17,https://solsea.io/collection/6246eef427de37dc87a944a9,9.33352E+17,2022-04-10T12:49:07.995000+00:00
48,9.62696E+17,Dont market your pandas here. Go through dm if you wanna discuss about it. There are certain tricks in premarket. Like getting more number of views to increase the floor price of nft. Dyor guys.,9.10152E+17,2022-04-10T12:48:44.515000+00:00
49,9.62695E+17,have you checked the ranking for this NFT?,3.5814E+17,2022-04-10T12:47:25.940000+00:00
50,9.62695E+17,ok,9.09811E+17,2022-04-10T12:46:50.532000+00:00
51,9.62695E+17,could you provide offical pre-market link here? so people could trust.,1.57583E+17,2022-04-10T12:46:07.264000+00:00
52,9.62695E+17,"It's PreMarket on SolSea, Market hasn't started yet 
Trade at your own risk as might you can get Fake Nft
So Wait for marketplace!",9.33352E+17,2022-04-10T12:45:11.983000+00:00
53,9.62694E+17,"check your dm, its not allowed.",1.57583E+17,2022-04-10T12:43:53.562000+00:00
54,9.62694E+17,send me a link,9.09811E+17,2022-04-10T12:43:40.465000+00:00
55,9.62694E+17,yeah on solsea.,1.57583E+17,2022-04-10T12:43:26.045000+00:00
56,9.62694E+17,there?,9.09811E+17,2022-04-10T12:43:16.980000+00:00
57,9.62694E+17,yeah i listed it mate. you can buy if you are interested.,1.57583E+17,2022-04-10T12:43:03.047000+00:00
58,9.62694E+17,trade there,9.09811E+17,2022-04-10T12:42:38.981000+00:00
59,9.62694E+17,on solsea yeah. its also verified. some people listed .,1.57583E+17,2022-04-10T12:42:16.148000+00:00
60,9.62694E+17,Is nft listed?,9.09811E+17,2022-04-10T12:41:48.358000+00:00
61,9.62558E+17,Good Morning GARIans,9.10152E+17,2022-04-10T03:39:59.900000+00:00
62,9.62534E+17,Staking goes live this month. Kindly stay tuned for info on same.,9.10152E+17,2022-04-10T02:07:50.028000+00:00
63,9.62532E+17,,1.55149E+17,2022-04-10T01:57:34.269000+00:00
64,9.62532E+17,Hi,9.5278E+17,2022-04-10T01:57:34.158000+00:00
65,9.62512E+17,Hello . Any suggestions on where to stake Gari or yield farm?,7.18876E+17,2022-04-10T00:37:23.456000+00:00
66,9.62229E+17,"Why $GARI?

1⃣ India's first social Token
⏫ First organization with huge userbase ported to Web3 from Web2 model
👥 Creators owned platform through rewards in GARI and control through DAO
🔒 Team's confidence by locking their tokens for voting
🌏 Future ambitions with expansions to all over the world, with a target of 3B+ users acquisition in next 2-3years
🔣 Upcoming features like Creator Staking, NFT Market Place, Multiplex
🎖 On the top of the charts under social category in India and Indonesia where Chingari has expanded
🥇 The Highest number of active wallets on Solana Ecosystem soon
✅ Chingari Audiorooms live on beta, GARI Pandas NFT mint closed.",9.10152E+17,2022-04-09T05:54:17.349000+00:00
67,9.622E+17,"🔸Lifetime FREE access to Chingari Metaverse
🔹Access and earning from P2E games
🔸Exclusive access to Invite-only parties with celebrities
🔹Discount on Panda Merch stores
🔸Access to partnership NFTs
🔹Voting rights for GARI street artist of the month
🔸Exclusive interactions with the Creators
🔹Recognition of NFT holders on Chingari App
🔸Access to concerts of top global artists
🔹VVIP entries to partner club
🔸Ownership of independent movie production
🔹NFT staking
🔸Exclusive meet with Bollywood A-listers

And tell you what, this is not exhaustive list.",9.10152E+17,2022-04-09T03:58:13.708000+00:00
68,9.622E+17,Please refer our website page https://gari.network/gari-panda/,9.10152E+17,2022-04-09T03:57:34.925000+00:00
69,9.62199E+17,What is the use of gari panda nft anyone can tell me,9.48979E+17,2022-04-09T03:56:23.999000+00:00
70,9.62197E+17,Its under final testing phase. Will be dropped any time soon.,9.10152E+17,2022-04-09T03:46:34.512000+00:00
71,9.62197E+17,"International KYC is being tested, we have identified some bugs while we were testing, we are doing our level best to launch it asap.",9.33352E+17,2022-04-09T03:45:42.495000+00:00
