,Msg_id,Chat_msg,Author_id,Time_stamp
0,971559286377414746,ok,810980473345277962,2022-05-04T23:49:44.571000+00:00
1,971559217402105876,"Just go to the mint link, it’ll show you",818267483021770782,2022-05-04T23:49:28.126000+00:00
2,971559129804062810,?,810980473345277962,2022-05-04T23:49:07.241000+00:00
3,971559097377914890,Nied,818267483021770782,2022-05-04T23:48:59.510000+00:00
4,971559088301412373,De,818267483021770782,2022-05-04T23:48:57.346000+00:00
5,971559077324931132,pls,810980473345277962,2022-05-04T23:48:54.729000+00:00
6,971559062711959592,how many left,810980473345277962,2022-05-04T23:48:51.245000+00:00
7,971559059415252992,yea! Link is in <#961513008390098954>,386743211051450368,2022-05-04T23:48:50.459000+00:00
8,971559019258974248,Yes!,709219613413736448,2022-05-04T23:48:40.885000+00:00
9,971558991110996088,mint is live ?,810980473345277962,2022-05-04T23:48:34.174000+00:00
10,971558875490844702,im not,675046094400520244,2022-05-04T23:48:06.608000+00:00
11,971558814644076545,at least we aint getting rugged,675046094400520244,2022-05-04T23:47:52.101000+00:00
12,971558783321014342,fair enough u arent lying,675046094400520244,2022-05-04T23:47:44.633000+00:00
13,971558610343698502,Literally dunked on,187378621021814794,2022-05-04T23:47:03.392000+00:00
14,971558548280594443,lmao,810980473345277962,2022-05-04T23:46:48.595000+00:00
15,971558148974448750,take ss,675046094400520244,2022-05-04T23:45:13.393000+00:00
16,971558146973773854,in ur phantom,675046094400520244,2022-05-04T23:45:12.916000+00:00
17,971558128573362198,show proof u own this wallet,675046094400520244,2022-05-04T23:45:08.529000+00:00
18,971558059916795945,"3288
https://market.solanamonkey.business/item/GfkNJ3ke6vYc8yjvuVBepf5xeuDf3qLkEBgXEyeFYhpS",386743211051450368,2022-05-04T23:44:52.160000+00:00
19,971557805561643049,"Yeah, it's an SMB. I forget the number",386743211051450368,2022-05-04T23:43:51.517000+00:00
20,971557714452955166,yeah!,386743211051450368,2022-05-04T23:43:29.795000+00:00
21,971557710476771328,wait thats not an smb,675046094400520244,2022-05-04T23:43:28.847000+00:00
22,971557678075752468,<@386743211051450368> do u own that smb,675046094400520244,2022-05-04T23:43:21.122000+00:00
23,971557641564352532,Great pulls!!,386743211051450368,2022-05-04T23:43:12.417000+00:00
24,971557520835485816,these are cool asf,910688092686540841,2022-05-04T23:42:43.633000+00:00
25,971557479420952596,,910688092686540841,2022-05-04T23:42:33.759000+00:00
26,971557390157766737,"ty, looking forward to whats in store",915768932856627210,2022-05-04T23:42:12.477000+00:00
27,971557289402195979,Welcome!!,386743211051450368,2022-05-04T23:41:48.455000+00:00
28,971557225682337803,im in.,915768932856627210,2022-05-04T23:41:33.263000+00:00
29,971557142530228244,okay thank you!!,762542753279508490,2022-05-04T23:41:13.438000+00:00
30,971556831661010944,There are a few special Gemmys (similar to the Skelly Pirate or the Skelly King from SMB),386743211051450368,2022-05-04T23:39:59.321000+00:00
31,971556346816262184,is there 1 of 1 gemmy?,762542753279508490,2022-05-04T23:38:03.725000+00:00
32,971555923883618394,"People are starting to understand!
https://twitter.com/YY122CASPAL/status/1521972202391973893",386743211051450368,2022-05-04T23:36:22.890000+00:00
33,971551487350169600,gm gm everyone,711800691747979294,2022-05-04T23:18:45.138000+00:00
34,971550141230239774,hi,765435837588176926,2022-05-04T23:13:24.198000+00:00
35,971547903581642773,a,297329067944968202,2022-05-04T23:04:30.701000+00:00
36,971544236090605599,hi,728645948586328095,2022-05-04T22:49:56.303000+00:00
37,971542844768661565,gn,724037125149818950,2022-05-04T22:44:24.586000+00:00
38,971542828901621770,🧹,818267483021770782,2022-05-04T22:44:20.803000+00:00
39,971542793157754950,Rip,818267483021770782,2022-05-04T22:44:12.281000+00:00
40,971542706989981696,,159985870458322944,2022-05-04T22:43:51.737000+00:00
41,971542697263398932,yessirr lost skollz gang gang 💪,621452928070320132,2022-05-04T22:43:49.418000+00:00
42,971542628661342279,Sweep before mint is over!,818267483021770782,2022-05-04T22:43:33.062000+00:00
43,971542605315842108,love these things,621452928070320132,2022-05-04T22:43:27.496000+00:00
44,971542577608269864,gonna mint a few more gemmys right noww,621452928070320132,2022-05-04T22:43:20.890000+00:00
45,971542272204230697,Should be able to see on the mint page!,711800691747979294,2022-05-04T22:42:08.076000+00:00
46,971541248412352563,yo,393759608943935489,2022-05-04T22:38:03.985000+00:00
47,971539052354486276,Hi brotha how many left ?,915821948573995048,2022-05-04T22:29:20.404000+00:00
48,971538637336477746,multiple giveaways actually,711800691747979294,2022-05-04T22:27:41.456000+00:00
49,971538618424385557,"Yup, at the end of our mint!",711800691747979294,2022-05-04T22:27:36.947000+00:00
50,971537857602805791,is there still an ivory giveaway?,228656205407584256,2022-05-04T22:24:35.553000+00:00
51,971537747812696134,"Once we get Matrica set up, we can even set up some roles for holdres of multiple Gemmys<:mcconaughey:886686997979201566>",711800691747979294,2022-05-04T22:24:09.377000+00:00
52,971537237399449670,<:gemmypat:961718990172987453>,447210442667065358,2022-05-04T22:22:07.685000+00:00
53,971536481241931836,Hey is the portals giveaway still happening?,228656205407584256,2022-05-04T22:19:07.403000+00:00
54,971534160776814602,Wow! Love the wizard in a cowboy shirt!!,386743211051450368,2022-05-04T22:09:54.161000+00:00
55,971532902657568779,that magic hat is cool,600386082953232420,2022-05-04T22:04:54.202000+00:00
56,971532883925798993,LFGG,600386082953232420,2022-05-04T22:04:49.736000+00:00
