,Msg_id,Chat_msg,Author_id,Time_stamp
0,999465637258735688,"aw, that sucks. Such a shame",414257632740769802,2022-07-20T23:59:37.096000+00:00
1,999465568526667836,"she says in a tweet to contact you to claim the spots and she also said ""hope its not too late""",969667754045079563,2022-07-20T23:59:20.709000+00:00
2,999465547022475326,Okay sir.,717728938796777534,2022-07-20T23:59:15.582000+00:00
3,999465373776760883,"Sorry to hear, every collab was told when the deadline was, hopefully there is a deal they made. I'll try find out, but doesn't seem so likely",414257632740769802,2022-07-20T23:58:34.277000+00:00
4,999465348703203368,,636381597972824074,2022-07-20T23:58:28.299000+00:00
5,999465255585448038,"Unless they've managed to get a deal where everything is going direct to contract, I'm not really too sure why they'd have run it so late on. our WL closed 6 hrs ago",414257632740769802,2022-07-20T23:58:06.098000+00:00
6,999465085141532824,I won from Sol princess,717728938796777534,2022-07-20T23:57:25.461000+00:00
7,999464978962722866,Who did you win from?,414257632740769802,2022-07-20T23:57:00.146000+00:00
8,999464941654397009,hii,636381597972824074,2022-07-20T23:56:51.251000+00:00
9,999464911249887282,"Nice Congrats but everything is closed, but you will have your role in 24/48h I believe",636381597972824074,2022-07-20T23:56:44.002000+00:00
10,999464846284304485,I just won wl  one hour ago sir. Now it's useless?,717728938796777534,2022-07-20T23:56:28.513000+00:00
11,999464764956753980,aye,157016371266453504,2022-07-20T23:56:09.123000+00:00
12,999464692491767911,Yo,489262754990129172,2022-07-20T23:55:51.846000+00:00
13,999464557443559454,woop,373268976257597442,2022-07-20T23:55:19.648000+00:00
14,999464552645267547,All good! 😄 won a WL via partner,373268976257597442,2022-07-20T23:55:18.504000+00:00
15,999464456629260288,are,636381597972824074,2022-07-20T23:54:55.612000+00:00
16,999464451247976518,how ar you,636381597972824074,2022-07-20T23:54:54.329000+00:00
17,999464380473278484,wats up frens,373268976257597442,2022-07-20T23:54:37.455000+00:00
18,999464262974066738,,636381597972824074,2022-07-20T23:54:09.441000+00:00
19,999464221756620911,yo,534409240681644073,2022-07-20T23:53:59.614000+00:00
20,999464121898651758,,414257632740769802,2022-07-20T23:53:35.806000+00:00
21,999464012163067934,,913812210638266378,2022-07-20T23:53:09.643000+00:00
22,999463952721391648,"that's okay, minting from SOL is really easy, super low gas. It's the same as minting from ETH, just different cryptos",414257632740769802,2022-07-20T23:52:55.471000+00:00
23,999463743266226197,then everything is closed thx for information,636381597972824074,2022-07-20T23:52:05.533000+00:00
24,999463706939375646,"yes i want to mint in eth, but never minted a sol project before, neither on a lauchpad",310346600214036490,2022-07-20T23:51:56.872000+00:00
25,999463608842989648,,414257632740769802,2022-07-20T23:51:33.484000+00:00
26,999463561443160094,Sadly now entry is closed and we can't get things changed around,414257632740769802,2022-07-20T23:51:22.183000+00:00
27,999463516023042198,"no, wallet entry is closed. The time to switch from one to another was the time before",414257632740769802,2022-07-20T23:51:11.354000+00:00
28,999463453943140413,gm,630211044895227914,2022-07-20T23:50:56.553000+00:00
29,999463411761020938,if you want you can mint with ETH we have both,636381597972824074,2022-07-20T23:50:46.496000+00:00
30,999463365887918160,"Heya, sorry. Wallet entry closed around 6hrs ago",414257632740769802,2022-07-20T23:50:35.559000+00:00
31,999463295721422908,<:pepeheatt:965731869817712691>,788213775358492702,2022-07-20T23:50:18.830000+00:00
32,999463247369490595,"i wad wl before the new discord and everything, and it was eth address DTC, but now idk",310346600214036490,2022-07-20T23:50:07.302000+00:00
33,999463163542126694,is it closed or not <@414257632740769802>,636381597972824074,2022-07-20T23:49:47.316000+00:00
34,999463001507778610,gm,636138414093107200,2022-07-20T23:49:08.684000+00:00
35,999462982406901830,can i mint in eth if i submitted the phantom wallet?,310346600214036490,2022-07-20T23:49:04.130000+00:00
