,Msg_id,Chat_msg,Author_id,Time_stamp
0,1004901550633779290,Cozy gang,851046331056652298,2022-08-04T23:59:59.839000+00:00
1,1004901545411887294,#cozydao,615248048137830431,2022-08-04T23:59:58.594000+00:00
2,1004901524922695825,Cozy daooo,347236729754746880,2022-08-04T23:59:53.709000+00:00
3,1004901521277853706,,452068923932934165,2022-08-04T23:59:52.840000+00:00
4,1004901520954892348,Wen mafa channel,865697151648006164,2022-08-04T23:59:52.763000+00:00
5,1004901518367019038,Siuu,401610524355461120,2022-08-04T23:59:52.146000+00:00
6,1004901508292288602,Cozyyyyyy,719618535294369832,2022-08-04T23:59:49.744000+00:00
7,1004901506421641226,Cozy dao lurkors here,655836478496047107,2022-08-04T23:59:49.298000+00:00
8,1004901500738338816,WE LOVE WENDEEZ,953239705061818418,2022-08-04T23:59:47.943000+00:00
9,1004901497114460160,Hey from cozy,219242913006092289,2022-08-04T23:59:47.079000+00:00
10,1004901483482972250,Wen channel for cozy,851046331056652298,2022-08-04T23:59:43.829000+00:00
11,1004901477241856081,Where verification,705596280818106429,2022-08-04T23:59:42.341000+00:00
12,1004901474561691750,,834785281294729227,2022-08-04T23:59:41.702000+00:00
13,1004901472636506143,,459014933888237575,2022-08-04T23:59:41.243000+00:00
14,1004901468509315132,gm from cozy dao,447790542638809098,2022-08-04T23:59:40.259000+00:00
15,1004901463920738434,hi from cozy gang,382645381139267594,2022-08-04T23:59:39.165000+00:00
16,1004901460720488488,Coozyyyy,347236729754746880,2022-08-04T23:59:38.402000+00:00
17,1004901459827114085,Hi from cozy,705596280818106429,2022-08-04T23:59:38.189000+00:00
18,1004901450314416228,Cozy gang!,406657815420207105,2022-08-04T23:59:35.921000+00:00
19,1004901450025017384,,292396485818056706,2022-08-04T23:59:35.852000+00:00
20,1004901443603537930,Hello from COZYDAO,851046331056652298,2022-08-04T23:59:34.321000+00:00
21,1004901424653680760,When proof channel,865697151648006164,2022-08-04T23:59:29.803000+00:00
22,1004901424347488376,,804139041154269225,2022-08-04T23:59:29.730000+00:00
23,1004901406588813433,cozy gag,288405319107739658,2022-08-04T23:59:25.496000+00:00
24,1004901401798914058,,427707009559691275,2022-08-04T23:59:24.354000+00:00
25,1004901389538951199,cozy gang,186661351668711424,2022-08-04T23:59:21.431000+00:00
26,1004901387634737183,Where channel,834785281294729227,2022-08-04T23:59:20.977000+00:00
27,1004901379954987070,,186661351668711424,2022-08-04T23:59:19.146000+00:00
28,1004901369494376448,coydaoooo,292396485818056706,2022-08-04T23:59:16.652000+00:00
29,1004901363920142506,yo cozy gang,459014933888237575,2022-08-04T23:59:15.323000+00:00
30,1004901362150162493,,401610524355461120,2022-08-04T23:59:14.901000+00:00
31,1004901359029596181,how bout u make channel sir,427707009559691275,2022-08-04T23:59:14.157000+00:00
32,1004901355737067681,Supp from cozyyy,401610524355461120,2022-08-04T23:59:13.372000+00:00
33,1004901348657090590,#cozydao,615248048137830431,2022-08-04T23:59:11.684000+00:00
34,1004901348568989767,from cozy,292396485818056706,2022-08-04T23:59:11.663000+00:00
35,1004901345838510080,from cozy,427707009559691275,2022-08-04T23:59:11.012000+00:00
36,1004901341023444992,cozy,427707009559691275,2022-08-04T23:59:09.864000+00:00
37,1004901340067139684,hi from cozy,222713738338369537,2022-08-04T23:59:09.636000+00:00
38,1004901333595340881,From cozy,834785281294729227,2022-08-04T23:59:08.093000+00:00
39,1004901326423072788,Cozy is here,865697151648006164,2022-08-04T23:59:06.383000+00:00
40,1004901324959268904,Sup from cozy,505481760847429652,2022-08-04T23:59:06.034000+00:00
41,1004901324619534447,Yo,834785281294729227,2022-08-04T23:59:05.953000+00:00
42,1004901324363669634,cozy fam,186661351668711424,2022-08-04T23:59:05.892000+00:00
43,1004901316931371038,Hi from cozy,150895053189939200,2022-08-04T23:59:04.120000+00:00
44,1004901309603905657,cozy fam,108462142121881600,2022-08-04T23:59:02.373000+00:00
45,1004901309398384751,from cozy,459014933888237575,2022-08-04T23:59:02.324000+00:00
46,1004901303140483143,Cozy,804139041154269225,2022-08-04T23:59:00.832000+00:00
47,1004901286690435072,hello from cozy,615248048137830431,2022-08-04T23:58:56.910000+00:00
48,1004900283547127859,😎,730836283332624506,2022-08-04T23:54:57.742000+00:00
49,1004900205025558548,hahha tyler is smart,747052049543331902,2022-08-04T23:54:39.021000+00:00
50,1004900169386577930,,730836283332624506,2022-08-04T23:54:30.524000+00:00
51,1004900145655189514,gib wls,154782882194259969,2022-08-04T23:54:24.866000+00:00
52,1004900134745821184,nuts,154782882194259969,2022-08-04T23:54:22.265000+00:00
53,1004900108820828251,since i wasnt first to post xd,747052049543331902,2022-08-04T23:54:16.084000+00:00
54,1004900106086142033,wen deez,284699600185458689,2022-08-04T23:54:15.432000+00:00
55,1004900086330949635,Gib wl,730836283332624506,2022-08-04T23:54:10.722000+00:00
56,1004899925592649849,wen wl,154782882194259969,2022-08-04T23:53:32.399000+00:00
57,1004899918995001431,yoo,154782882194259969,2022-08-04T23:53:30.826000+00:00
58,1004899851093413959,wen mint,260887459993354250,2022-08-04T23:53:14.637000+00:00
59,1004899837495480380,gm,260887459993354250,2022-08-04T23:53:11.395000+00:00
60,1004899822865752134,GM fam,210794590750375937,2022-08-04T23:53:07.907000+00:00
61,1004899525728678051,gib,260887459993354250,2022-08-04T23:51:57.064000+00:00
62,1004899519470776340,<@284699600185458689>,260887459993354250,2022-08-04T23:51:55.572000+00:00
63,1004899504803303526,gib wl,260887459993354250,2022-08-04T23:51:52.075000+00:00
64,1004899496611827742,,260887459993354250,2022-08-04T23:51:50.122000+00:00
65,1004899401237549136,art is unique aff,747052049543331902,2022-08-04T23:51:27.383000+00:00
66,1004899346619318333,gib plz im raiding,747052049543331902,2022-08-04T23:51:14.361000+00:00
67,1004899327346491392,to get wl,747052049543331902,2022-08-04T23:51:09.766000+00:00
68,1004899319561851012,adam sent me,747052049543331902,2022-08-04T23:51:07.910000+00:00
69,1004899214385496064,Hii,434923708860071939,2022-08-04T23:50:42.834000+00:00
70,1004899180109627493,hi angela 👋,284699600185458689,2022-08-04T23:50:34.662000+00:00
71,1004899104817676378,Best art 🔥,434923708860071939,2022-08-04T23:50:16.711000+00:00
72,1004899087151280179,HEYYYY,434923708860071939,2022-08-04T23:50:12.499000+00:00
73,1004897635695595613,hello mates,775193290860527617,2022-08-04T23:44:26.445000+00:00
74,1004882216846897322,Can you please gib WL ?,362010711699750933,2022-08-04T22:43:10.305000+00:00
75,1004878726376472706,love the arttt,978691321374060625,2022-08-04T22:29:18.112000+00:00
76,1004878708047364168,hii how can we get wl,978691321374060625,2022-08-04T22:29:13.742000+00:00
77,1004875813553967254,https://tenor.com/view/satisfying-gifs-oddly-satisfying-acrylic-painting-on-canvas-paint-wow-art-gif-22571315,973572514188001321,2022-08-04T22:17:43.641000+00:00
