,Msg_id,Chat_msg,Author_id,Time_stamp
0,9.82433E+17,Still not there you can check <#958224137724243978> for other marketplazas,6.14806E+17,2022-06-03T23:56:06.073000+00:00
1,9.82424E+17,All good guys,9.631E+17,2022-06-03T23:20:45.672000+00:00
2,9.82422E+17,j,4.49903E+17,2022-06-03T23:13:24.742000+00:00
3,9.82421E+17,Journey just started. Enjoy the ride.,9.16357E+17,2022-06-03T23:09:50.885000+00:00
4,9.82418E+17,GM why i cant find metafigz on magiceden,8.93066E+17,2022-06-03T22:59:58.969000+00:00
5,9.82418E+17,Hi,8.53902E+17,2022-06-03T22:56:49.800000+00:00
6,9.82416E+17,Hello guys,9.631E+17,2022-06-03T22:52:25.159000+00:00
7,9.82412E+17,Wow I was psyched to get in on this. Not feeling it so much anymore,8.13998E+17,2022-06-03T22:32:40.223000+00:00
8,9.82411E+17,Hey guys,9.78246E+17,2022-06-03T22:30:04.732000+00:00
9,9.82411E+17,So much to say but really not worth it,8.13998E+17,2022-06-03T22:29:00.186000+00:00
10,9.8241E+17,wen wen?,3.64946E+17,2022-06-03T22:28:26.493000+00:00
11,9.8241E+17,but rarity doesn't come into play until phase 3,9.16357E+17,2022-06-03T22:25:58.037000+00:00
12,9.8241E+17,all the females are rare,9.16357E+17,2022-06-03T22:24:49.205000+00:00
13,9.82409E+17,floor price at 1.19,8.13998E+17,2022-06-03T22:21:38.837000+00:00
14,9.82407E+17,What is FP?,4.65558E+17,2022-06-03T22:15:37.334000+00:00
15,9.82403E+17,Hopefully someone in the community will give me a hand.,8.13998E+17,2022-06-03T21:56:54.361000+00:00
16,9.82402E+17,I am not sure it always shows the right rank on the snipe tool. It shows number 5 Mythic,8.13998E+17,2022-06-03T21:55:40.290000+00:00
17,9.82402E+17,I hear ya. I just want to verify the accuracy of my rarikey. So I was hoping to get someone the check it for me.,8.13998E+17,2022-06-03T21:55:13.285000+00:00
18,9.82401E+17,.,2.40959E+17,2022-06-03T21:52:01.360000+00:00
19,9.82401E+17,The rarity doesn't mean anything,8.35506E+17,2022-06-03T21:51:42.243000+00:00
20,9.82401E+17,hows it going,8.13998E+17,2022-06-03T21:51:18.213000+00:00
21,9.824E+17,Hello guys,9.76489E+17,2022-06-03T21:48:16.671000+00:00
22,9.824E+17,is solrarity the only place to check rank?,8.13998E+17,2022-06-03T21:45:12.302000+00:00
23,9.82399E+17,What's Poppin now?,9.7905E+17,2022-06-03T21:43:38.850000+00:00
24,9.82399E+17,I just bought for 1.19,8.13998E+17,2022-06-03T21:43:29.068000+00:00
25,9.82399E+17,1.2,8.13998E+17,2022-06-03T21:42:58.617000+00:00
26,9.82399E+17,All good bro!💪,3.86002E+17,2022-06-03T21:42:41.457000+00:00
27,9.82399E+17,Excited for the next steps here!,3.86002E+17,2022-06-03T21:42:32.944000+00:00
28,9.82399E+17,"Floorprice still 1,25 ?",8.21725E+17,2022-06-03T21:42:29.847000+00:00
29,9.82399E+17,All good! Just checking in and winding down for the weekend,3.86002E+17,2022-06-03T21:42:26.775000+00:00
30,9.82399E+17,Cool and you?,9.7905E+17,2022-06-03T21:42:01.294000+00:00
31,9.82399E+17,Alright...tag me there,8.35506E+17,2022-06-03T21:41:54.661000+00:00
32,9.82399E+17,"Heyyy
How are you?",8.35506E+17,2022-06-03T21:41:42.302000+00:00
33,9.82399E+17,Again course have open that before and it still open,9.7905E+17,2022-06-03T21:41:41.912000+00:00
34,9.82399E+17,Supp guys,3.86002E+17,2022-06-03T21:41:21.139000+00:00
35,9.82398E+17,Open a ticket,8.35506E+17,2022-06-03T21:39:11.626000+00:00
36,9.82396E+17,How I'm I to see mine course I can't find anything in my wallet,9.7905E+17,2022-06-03T21:31:42.552000+00:00
37,9.82396E+17,I think its rare but cant check,8.13998E+17,2022-06-03T21:30:02.994000+00:00
38,9.82396E+17,someone just dropped this one at FP,8.13998E+17,2022-06-03T21:29:43.808000+00:00
39,9.82394E+17,"Damn paperhands, why sell for 1 and LOSE money!?",6.89598E+17,2022-06-03T21:23:16.338000+00:00
