,Msg_id,Chat_msg,Author_id,Time_stamp
0,991492712903749742,I'll keep on! Earlier today had for OG. If I win a custom OG I put it on my instagram profile picture hahaha,853083270862340147,2022-06-28T23:58:03.800000+00:00
1,991492355993645120,Brazuca rsrs,853083270862340147,2022-06-28T23:56:38.706000+00:00
2,991490937706516540,Okay thanks 😊,947860157021429792,2022-06-28T23:51:00.560000+00:00
3,991490794496200744,Management 🙂,248719044356603905,2022-06-28T23:50:26.416000+00:00
4,991490345227538522,Hello! I am an admin of a promoter from twitter. Is the project open for promotions? Who can I contact for marketing proposals?,947860157021429792,2022-06-28T23:48:39.302000+00:00
5,991490273983070250,No problem at all im a nocturnal being anyway.,248719044356603905,2022-06-28T23:48:22.316000+00:00
6,991482633668276225,When again the BRR?,680021621297512490,2022-06-28T23:18:00.723000+00:00
7,991481584668647434,salve!,183618568095531008,2022-06-28T23:13:50.622000+00:00
8,991480225613488259,"done , thanks",474826527318474753,2022-06-28T23:08:26.598000+00:00
9,991477405157961739,Keep trying bro,887185652339343380,2022-06-28T22:57:14.149000+00:00
10,991475249411538976,Ok all.  I am off for a while getting ready.  I will be back on as we get close to mint with a couple more announcements.,916260699590766613,2022-06-28T22:48:40.179000+00:00
11,991475247515697263,It wasn't this time,853083270862340147,2022-06-28T22:48:39.727000+00:00
12,991475052065345566,Make sure to submit wallet <#990709423330709564>,916260699590766613,2022-06-28T22:47:53.128000+00:00
13,991475014316597339,Congrats <@474826527318474753> picking up a Last minute WL spot,916260699590766613,2022-06-28T22:47:44.128000+00:00
14,991474216614514738,Strong!,887185652339343380,2022-06-28T22:44:33.941000+00:00
15,991473987949441105,I'll try one more time...hope I succeed now. 😂,853083270862340147,2022-06-28T22:43:39.423000+00:00
16,991473778301337682,Hello my friend,853083270862340147,2022-06-28T22:42:49.439000+00:00
17,991473773544996934,<#962761909789155399> ?,916260699590766613,2022-06-28T22:42:48.305000+00:00
18,991473718574461008,Euuuuu 😁,853083270862340147,2022-06-28T22:42:35.199000+00:00
19,991473610617278514,Who still needs WL?,916260699590766613,2022-06-28T22:42:09.460000+00:00
20,991473590937591929,"Hi guys, GN for all!",183618568095531008,2022-06-28T22:42:04.768000+00:00
21,991473376252137593,Very cool! Where do you live?,853083270862340147,2022-06-28T22:41:13.583000+00:00
22,991471639894163466,Just spread the word so we bring some more great people here,916260699590766613,2022-06-28T22:34:19.603000+00:00
23,991471474240131202,Community first!!!,916260699590766613,2022-06-28T22:33:40.108000+00:00
24,991470943320936508,Best team ever,475093859811065867,2022-06-28T22:31:33.527000+00:00
25,991469016885510365,<#942170718790111303> we will sort something out,916260699590766613,2022-06-28T22:23:54.229000+00:00
26,991468303719604246,Right during exam,475093859811065867,2022-06-28T22:21:04.197000+00:00
27,991468215949590588,<@916260699590766613>Can't mint big sadge,475093859811065867,2022-06-28T22:20:43.271000+00:00
28,991465064823541861,Sorry about that.  Hard to cater for everyone.  I am close in Timezone to you as well so it will be a late night,916260699590766613,2022-06-28T22:08:11.984000+00:00
29,991462962839699618,Good night my brother and sisters,990646526076403773,2022-06-28T21:59:50.832000+00:00
30,991461391674396763,Am so glad to meet different people here,990646526076403773,2022-06-28T21:53:36.237000+00:00
31,991460853083820162,Its going to be late for me here in nzdt but im ready also,248719044356603905,2022-06-28T21:51:27.827000+00:00
32,991460689283649566,I am all set!,916260699590766613,2022-06-28T21:50:48.774000+00:00
33,991460574619783200,MINT' lol,248719044356603905,2022-06-28T21:50:21.436000+00:00
34,991460507640934481,Isoozetsu what you mean by moont,990646526076403773,2022-06-28T21:50:05.467000+00:00
35,991460064038764625,Who's ready to MOONT?,248719044356603905,2022-06-28T21:48:19.704000+00:00
36,991459955309822012,Thanks so much,990646526076403773,2022-06-28T21:47:53.781000+00:00
37,991459779136454776,Going good.  Tired but good,916260699590766613,2022-06-28T21:47:11.778000+00:00
38,991458859157835889,Tre3ze am really happy to meet in this Link,990646526076403773,2022-06-28T21:43:32.438000+00:00
39,991458160655212714,How is your fam,990646526076403773,2022-06-28T21:40:45.902000+00:00
40,991458083635208232,Ok thanks,990646526076403773,2022-06-28T21:40:27.539000+00:00
41,991457867083284550,Now she has found a friend and is playing with her.,853083270862340147,2022-06-28T21:39:35.909000+00:00
42,991457530578489439,"That is nice, am also here with my love one eating",990646526076403773,2022-06-28T21:38:15.680000+00:00
43,991457528577798204,Gm 👍🏼,853083270862340147,2022-06-28T21:38:15.203000+00:00
44,991457328966672384,<@916260699590766613> I'm the same as this TREZE is that on the smartphone discord is different. 😂😂,853083270862340147,2022-06-28T21:37:27.612000+00:00
45,991456902292709476,All good! I'm even here with my daughter playing hahaha,853083270862340147,2022-06-28T21:35:45.885000+00:00
46,991455177955619010,Tinks how are you doing today,990646526076403773,2022-06-28T21:28:54.771000+00:00
47,991454485098545214,GM all…. It’s Mint day (for me anyway)!,916260699590766613,2022-06-28T21:26:09.581000+00:00
48,991454477532024923,Tr3ze how is your family,990646526076403773,2022-06-28T21:26:07.777000+00:00
49,991454154809675907,Fine,990646526076403773,2022-06-28T21:24:50.834000+00:00
50,991453827704295505,Hey whats up?,853083270862340147,2022-06-28T21:23:32.846000+00:00
51,991447520465133618,<@981973512740802673> fire on sneak  🔥 🔥 🔥,319141089099382784,2022-06-28T20:58:29.083000+00:00
52,991446054337794049,whats up cows,319141089099382784,2022-06-28T20:52:39.531000+00:00
53,991446026407915633,,155149108183695360,2022-06-28T20:52:32.872000+00:00
54,991446022842744882,moo,319141089099382784,2022-06-28T20:52:32.022000+00:00
55,991445976671850576,Hello everyone,319141089099382784,2022-06-28T20:52:21.014000+00:00
56,991434440087711794,Thanks God to hear that from you,990646526076403773,2022-06-28T20:06:30.478000+00:00
57,991433552312934400,I'm also well,853083270862340147,2022-06-28T20:02:58.816000+00:00
58,991428949672476672,Am fine and you,990646526076403773,2022-06-28T19:44:41.461000+00:00
59,991425304117645312,Everything is fine here and how are you?,853083270862340147,2022-06-28T19:30:12.293000+00:00
60,991425009270669412,"You need to be active here in the project, in addition to the other ways you can check it out on <#936057915675119642>",853083270862340147,2022-06-28T19:29:01.996000+00:00
61,991420931421523988,How is everyon,990646526076403773,2022-06-28T19:12:49.761000+00:00
62,991420045186052206,Good evening,990646526076403773,2022-06-28T19:09:18.466000+00:00
63,991419168081580252,how can i get wl?,887185652339343380,2022-06-28T19:05:49.348000+00:00
64,991416739214659635,,155149108183695360,2022-06-28T18:56:10.261000+00:00
65,991416735204901055,moo,497863768534024208,2022-06-28T18:56:09.305000+00:00
66,991414822451302441,🥵🥵🥵,715691860206551141,2022-06-28T18:48:33.269000+00:00
67,991414812359798814,I seen the personalised pfp,715691860206551141,2022-06-28T18:48:30.863000+00:00
68,991414768969732096,damnnn,715691860206551141,2022-06-28T18:48:20.518000+00:00
69,991400211790438451,MOO hahaha,183618568095531008,2022-06-28T17:50:29.816000+00:00
70,991400074531844207,"Hi guys, how it's going?",183618568095531008,2022-06-28T17:49:57.091000+00:00
71,991397703835721759,HEYYY,211972540778807306,2022-06-28T17:40:31.873000+00:00
72,991390948430991430,Everything is fine here and you?,985910712016703538,2022-06-28T17:13:41.259000+00:00
