,Msg_id,Chat_msg,Author_id,Time_stamp
0,1002363954447781988,Hi,963064249112989778,2022-07-28T23:56:29.762000+00:00
1,1002363065192435752,You're still early,126022114254913536,2022-07-28T23:52:57.747000+00:00
2,1002362631610454036,Hello,965628662005248020,2022-07-28T23:51:14.373000+00:00
3,1002360473557155841,Gn,877647720846852166,2022-07-28T23:42:39.853000+00:00
4,1002360252563472444,Will I need it tomorrow or not?,543495630803435541,2022-07-28T23:41:47.164000+00:00
5,1002359774446374994,What do these crazy rats do here <@618623477099790368>,927245073706532874,2022-07-28T23:39:53.172000+00:00
6,1002359728820715520,Hahaha it’s what I do 😂😂😂,927245073706532874,2022-07-28T23:39:42.294000+00:00
7,1002359498561830972,name checks out <a:kek:941626204958629978>,618623477099790368,2022-07-28T23:38:47.396000+00:00
8,1002359475707052222,How?,543495630803435541,2022-07-28T23:38:41.947000+00:00
9,1002359474574590013,Thanks bro,882955008407142402,2022-07-28T23:38:41.677000+00:00
10,1002359450939703327,Just here from defi distruct,927245073706532874,2022-07-28T23:38:36.042000+00:00
11,1002359427623571507,Yo yo yo LFG,927245073706532874,2022-07-28T23:38:30.483000+00:00
12,1002359382195052595,to get rich,618623477099790368,2022-07-28T23:38:19.652000+00:00
13,1002359268579758192,why is she needed?,543495630803435541,2022-07-28T23:37:52.564000+00:00
14,1002359155417415730,i don’t understand your question,618623477099790368,2022-07-28T23:37:25.584000+00:00
15,1002358559721402450,hi,734224585796354108,2022-07-28T23:35:03.559000+00:00
16,1002358514641010688,what gives me presence this  nft?,543495630803435541,2022-07-28T23:34:52.811000+00:00
17,1002358440334729316,Hi,543495630803435541,2022-07-28T23:34:35.095000+00:00
18,1002358143218626711,cheap,618623477099790368,2022-07-28T23:33:24.257000+00:00
19,1002357996527034388,LoL 2.25 mint price,956652191177904158,2022-07-28T23:32:49.283000+00:00
20,1002357815765119036,<#942938665095680010>,543495630803435541,2022-07-28T23:32:06.186000+00:00
21,1002357628535570563,what gives me presence this NFT?,543495630803435541,2022-07-28T23:31:21.547000+00:00
22,1002357139815276725,I think it's 2 hours premium and then 2 hrs normal and then piblic,126022114254913536,2022-07-28T23:29:25.027000+00:00
23,1002357109305901107,,325367386628685824,2022-07-28T23:29:17.753000+00:00
24,1002355475502874645,Hey,957295752466546748,2022-07-28T23:22:48.224000+00:00
25,1002354763079352470,Yooo how much time for minting with wl? I’ll be driving and just to organize myself,882955008407142402,2022-07-28T23:19:58.369000+00:00
26,1002354703453130752,Hi,972226556225269780,2022-07-28T23:19:44.153000+00:00
