,Msg_id,Chat_msg,Author_id,Time_stamp
0,977721886945468436,Check out <#957645887591571577>,393236710949126146,2022-05-21T23:57:43.042000+00:00
1,977721258697449542,👍,949651138272182352,2022-05-21T23:55:13.256000+00:00
2,977721198957973526,Wallet based sir,291522349650411531,2022-05-21T23:54:59.013000+00:00
3,977721132855738438,token or wallet based???????,949651138272182352,2022-05-21T23:54:43.253000+00:00
4,977721037007487016,Does anyone know what time the mint is?,384782552692555777,2022-05-21T23:54:20.401000+00:00
5,977720744391872592,YESII!!! 😄,393236710949126146,2022-05-21T23:53:10.636000+00:00
6,977720730127065088,<:daang:941931186241028126> <:daang:941931186241028126>,393236710949126146,2022-05-21T23:53:07.235000+00:00
7,977720377021186048,yo,184878400832405504,2022-05-21T23:51:43.048000+00:00
8,977720373720281140,What time is the mint?,384782552692555777,2022-05-21T23:51:42.261000+00:00
9,977720355915436072,Yo,384782552692555777,2022-05-21T23:51:38.016000+00:00
10,977719534934953984,<a:coolironpug:967002504908910622>,888257483397812255,2022-05-21T23:48:22.279000+00:00
11,977719484880142376,<a:hyperpug:956526190036922408>,888257483397812255,2022-05-21T23:48:10.345000+00:00
12,977719373773021244,CHUNKY!!! 🙂,841451627935301682,2022-05-21T23:47:43.855000+00:00
13,977719293997367317,Who is excited for mint?!?,841451627935301682,2022-05-21T23:47:24.835000+00:00
14,977718610795593818,How many are you minting?,393236710949126146,2022-05-21T23:44:41.947000+00:00
15,977718586795765830,I guess you're that excited to mint hahaha,393236710949126146,2022-05-21T23:44:36.225000+00:00
16,977718448085934091,And not it's 1:43AM for me I counted until 6AM why my brain work likes this,902214198287818772,2022-05-21T23:44:03.154000+00:00
17,977718282943619122,HAHAHA I forgot to add 2 hours I am UTC+2,902214198287818772,2022-05-21T23:43:23.781000+00:00
18,977718205944594432,<a:hyperblob:947284191421284423>,393236710949126146,2022-05-21T23:43:05.423000+00:00
19,977718174214664192,<:daang:941931186241028126>,393236710949126146,2022-05-21T23:42:57.858000+00:00
20,977718137552252948,It's 5h18 mins ;p <@902214198287818772>,393236710949126146,2022-05-21T23:42:49.117000+00:00
21,977718056027570176,No I'm not,393236710949126146,2022-05-21T23:42:29.680000+00:00
22,977717746601185350,Wait am I tripping,393236710949126146,2022-05-21T23:41:15.907000+00:00
23,977717332594004049,,900028043958046782,2022-05-21T23:39:37.200000+00:00
24,977717269704605766,,461253971823165462,2022-05-21T23:39:22.206000+00:00
25,977716500947427368,MINT IN 5h24!!!! 🔥🔥🔥,902214198287818772,2022-05-21T23:36:18.920000+00:00
26,977716344160137256,Lesss gooo,393236710949126146,2022-05-21T23:35:41.539000+00:00
27,977716326644736082,Just a little over 5 hours until whale mint!!,393236710949126146,2022-05-21T23:35:37.363000+00:00
28,977713185681444935,Let’s puggin go,970337293804122142,2022-05-21T23:23:08.499000+00:00
29,977713096493789204,,970337293804122142,2022-05-21T23:22:47.235000+00:00
30,977708797156007987,I dunnooooo,583262670002716704,2022-05-21T23:05:42.193000+00:00
31,977705220371009556,<@942156042794565705> oh cool bro,948538772633567263,2022-05-21T22:51:29.421000+00:00
32,977705156437241866,<@925473894163427438> sweet dreams bro,948538772633567263,2022-05-21T22:51:14.178000+00:00
33,977704748117528587,gn guys,925473894163427438,2022-05-21T22:49:36.827000+00:00
34,977704684900982844,You can go to the Pugging Awesome website at <#952790654168223774> the whitepaper is there.,691242869788508221,2022-05-21T22:49:21.755000+00:00
35,977704448677797888,<@942156042794565705>  how'd it going today,948538772633567263,2022-05-21T22:48:25.435000+00:00
36,977704051984715796,Yes mate,942156042794565705,2022-05-21T22:46:50.856000+00:00
37,977703970195796018,<@942156042794565705>  same here buddy,948538772633567263,2022-05-21T22:46:31.356000+00:00
38,977703422461640744,"where i can check the whitepaper, please?",911218151121899571,2022-05-21T22:44:20.766000+00:00
39,977703193146433576,For u r a OG pug but not OG puglist,838412463896002602,2022-05-21T22:43:26.093000+00:00
40,977703094165061633,No I’m sorry u were one of the first 1000 people in here,838412463896002602,2022-05-21T22:43:02.494000+00:00
41,977702732708331530,Not WL ?,616008749131366411,2022-05-21T22:41:36.316000+00:00
42,977702466760089611,Hi,898267350581788732,2022-05-21T22:40:32.909000+00:00
43,977702003092377610,It good and yours,942156042794565705,2022-05-21T22:38:42.362000+00:00
44,977701972029374504,How was your weekend?,942156042794565705,2022-05-21T22:38:34.956000+00:00
45,977701950697132042,<@942156042794565705>  how's it going,948538772633567263,2022-05-21T22:38:29.870000+00:00
46,977701923438338088,Happy weekend dude,942156042794565705,2022-05-21T22:38:23.371000+00:00
47,977701645578305698,Happy weekend guys,948538772633567263,2022-05-21T22:37:17.124000+00:00
48,977701133986447440,,838412463896002602,2022-05-21T22:35:15.151000+00:00
49,977700951743934504,Huh,837431176955297812,2022-05-21T22:34:31.701000+00:00
50,977700204851634296,WHAT EVERY YOU DO DONT OPEN IT,838412463896002602,2022-05-21T22:31:33.628000+00:00
51,977699998605144104,Great 👌,925840834115539074,2022-05-21T22:30:44.455000+00:00
52,977699926131740712,I got it too,838412463896002602,2022-05-21T22:30:27.176000+00:00
53,977699911397167164,<#959053399528194078>,925840834115539074,2022-05-21T22:30:23.663000+00:00
54,977699886684340274,<#955708047379034112>,838412463896002602,2022-05-21T22:30:17.771000+00:00
55,977699876634755163,pugs!,776109662403428362,2022-05-21T22:30:15.375000+00:00
56,977699592432914502,"Where can I open a ticket, trying to report a scam",882809811597680661,2022-05-21T22:29:07.616000+00:00
57,977699508018360340,Hello guys when Is mint (CAT),948538772633567263,2022-05-21T22:28:47.490000+00:00
58,977699311125147758,Sadly no wl is currently closed,838412463896002602,2022-05-21T22:28:00.547000+00:00
59,977698371076751381,What’s the price for og mint?,595298056719564801,2022-05-21T22:24:16.422000+00:00
60,977698312352317480,Did I make the cut lol,595298056719564801,2022-05-21T22:24:02.421000+00:00
61,977697286169702461,I'm ready and I will make sure all my friend will not miss out!!!,925840834115539074,2022-05-21T22:19:57.760000+00:00
62,977696616028979280,Who is ready for the mint tomorrow?,942156042794565705,2022-05-21T22:17:17.986000+00:00
63,977695458971512862,🤣,691242869788508221,2022-05-21T22:12:42.122000+00:00
64,977695416290250822,"hahahah if you give me double afterwards, I'll consider it 👀",393236710949126146,2022-05-21T22:12:31.946000+00:00
65,977695253576445952,Hello,838412463896002602,2022-05-21T22:11:53.152000+00:00
66,977695233305378898,Hello,838412463896002602,2022-05-21T22:11:48.319000+00:00
67,977693263572135956,Give me 100 sol and I’ll do it 😂😂😂,461253971823165462,2022-05-21T22:03:58.698000+00:00
68,977693044079984650,Ayoo should have applied for the Mega Puglist then 👀,393236710949126146,2022-05-21T22:03:06.367000+00:00
69,977693002136948777,hello,935208883415285830,2022-05-21T22:02:56.367000+00:00
70,977692875531886592,hello,774106725434654771,2022-05-21T22:02:26.182000+00:00
71,977692480587845682,"Yeah, I can't wait",925840834115539074,2022-05-21T22:00:52.020000+00:00
72,977692356377718874,I want to mint the whole collection in totality,925840834115539074,2022-05-21T22:00:22.406000+00:00
73,977692322462593024,Niice! Tomorrow is going to be excitiiing,393236710949126146,2022-05-21T22:00:14.320000+00:00
74,977692196167897088,"""Insert snoop dog dancing here""",393236710949126146,2022-05-21T21:59:44.209000+00:00
75,977692166103130152,Yeah,925840834115539074,2022-05-21T21:59:37.041000+00:00
76,977692132347367475,sad,393236710949126146,2022-05-21T21:59:28.993000+00:00
77,977692124894097468,oh,393236710949126146,2022-05-21T21:59:27.216000+00:00
78,977692113007411291,,159985870458322944,2022-05-21T21:59:24.382000+00:00
79,977692062747082803,Are you minting? 👀,393236710949126146,2022-05-21T21:59:12.399000+00:00
80,977692007218679858,https://tenor.com/view/snoop-dogg-rap-hip-hop-west-coast-crips-gif-24898891,691242869788508221,2022-05-21T21:58:59.160000+00:00
81,977691981838954536,<:dabpug:963460631284031508> <:dabpug:963460631284031508> <:dabpug:963460631284031508> <:dabpug:963460631284031508> <:dabpug:963460631284031508> <:dabpug:963460631284031508>,925840834115539074,2022-05-21T21:58:53.109000+00:00
82,977691958690603052,<a:pug:958130476286115841>,393236710949126146,2022-05-21T21:58:47.590000+00:00
83,977691917921959936,Excited for mint?,393236710949126146,2022-05-21T21:58:37.870000+00:00
84,977691907977269298,It's true LFG,925840834115539074,2022-05-21T21:58:35.499000+00:00
85,977691891229417562,Wassaap Wardog!!,393236710949126146,2022-05-21T21:58:31.506000+00:00
