,Msg_id,Chat_msg,Author_id,Time_stamp
0,1001640051807105117,holly,759226950551076914,2022-07-26T23:59:57.923000+00:00
1,1001640003853619201,I don’t know how I feel about it 😅,559395997198057472,2022-07-26T23:59:46.490000+00:00
2,1001639969019932703,Rank 32 lol,559395997198057472,2022-07-26T23:59:38.185000+00:00
3,1001639942755201075,,559395997198057472,2022-07-26T23:59:31.923000+00:00
4,1001639806633250918,they are all clean,759226950551076914,2022-07-26T23:58:59.469000+00:00
5,1001639656967897189,Top one is so clean,559395997198057472,2022-07-26T23:58:23.786000+00:00
6,1001639531373666414,Yo u guys wanna see rank 32 ?,559395997198057472,2022-07-26T23:57:53.842000+00:00
7,1001639472544370708,Damn,559395997198057472,2022-07-26T23:57:39.816000+00:00
8,1001639157191426158,haha nice one whale,759226950551076914,2022-07-26T23:56:24.630000+00:00
9,1001638992791486567,50+ OMEGA? <a:kekw:921238152037957652>,657848787473268746,2022-07-26T23:55:45.434000+00:00
10,1001638943768453120,I'll be setting up the whale roles shortly.,657848787473268746,2022-07-26T23:55:33.746000+00:00
11,1001638807801692160,https://tenor.com/view/steve-carell-wow-yay-omg-really-gif-15731645,657848787473268746,2022-07-26T23:55:01.329000+00:00
12,1001638533343236267,Update done 👍🏻,887937188619255808,2022-07-26T23:53:55.893000+00:00
13,1001638074763182131,bruh id give my left nut for a smoking skelly wit a candlestick background,897196817421332603,2022-07-26T23:52:06.559000+00:00
14,1001637468371689492,,657848787473268746,2022-07-26T23:49:41.984000+00:00
15,1001637255909212170,took three💀 💀 💀,899664717054898216,2022-07-26T23:48:51.329000+00:00
16,1001637139991249097,Pinn it 💪🏻,879287188666351646,2022-07-26T23:48:23.692000+00:00
17,1001636404356460674,"@here For anyone seeing two collections in their wallet, they will all be in one collection when this updates.",657848787473268746,2022-07-26T23:45:28.303000+00:00
18,1001636128136384590,"Got it, thanks",802315739104935936,2022-07-26T23:44:22.447000+00:00
19,1001634707039080558,Rarity should be in the traits,657848787473268746,2022-07-26T23:38:43.631000+00:00
20,1001634600340168764,A couple o cets had us takin a look 👌,178304384415825921,2022-07-26T23:38:18.192000+00:00
21,1001634544434298900,Hey! Welcome!,657848787473268746,2022-07-26T23:38:04.863000+00:00
22,1001634488364830862,See what's up,178304384415825921,2022-07-26T23:37:51.495000+00:00
23,1001634476436234330,Hey fam had to stop in,178304384415825921,2022-07-26T23:37:48.651000+00:00
24,1001633868639637606,Will there be rarity ranking?,802315739104935936,2022-07-26T23:35:23.741000+00:00
25,1001632946035367977,Just did 👍,802315739104935936,2022-07-26T23:31:43.775000+00:00
26,1001632853693566976,No more price change…these are worth way more than .1,876200667620991017,2022-07-26T23:31:21.759000+00:00
27,1001632722365710446,Don't forget to <#1001240751776207001>,657848787473268746,2022-07-26T23:30:50.448000+00:00
28,1001632604828745858,❤️  Appreciate that!,657848787473268746,2022-07-26T23:30:22.425000+00:00
29,1001632469033955449,"I'm reading through old announcements and its refreshing to see that the team actually responds to feedback from the community. I have a little over ten or so right now, might have to mint more later.",802315739104935936,2022-07-26T23:29:50.049000+00:00
30,1001632241539100783,Hey!,657848787473268746,2022-07-26T23:28:55.810000+00:00
31,1001631974173196319,Hi,766669114789855293,2022-07-26T23:27:52.065000+00:00
32,1001631486350471248,I believe we can sell out💪 💪,973573163080355881,2022-07-26T23:25:55.759000+00:00
33,1001631143642284042,GN! ❤️,657848787473268746,2022-07-26T23:24:34.051000+00:00
34,1001631110389842032,"gn guys
see you tomorrow",697521846177890314,2022-07-26T23:24:26.123000+00:00
35,1001631053066289295,Thanks for clarifying 💚,219657497194004480,2022-07-26T23:24:12.456000+00:00
36,1001630983658930206,Thanks man.,877004097868410970,2022-07-26T23:23:55.908000+00:00
37,1001630954554667108,Welcome!,657848787473268746,2022-07-26T23:23:48.969000+00:00
38,1001630910577377395,Hey <@657848787473268746> <@362560758833217556> sent me in to say hi,877004097868410970,2022-07-26T23:23:38.484000+00:00
39,1001630898946592820,Ah ok got ya.,219657497194004480,2022-07-26T23:23:35.711000+00:00
40,1001630760702328832,The hashlist needs to be updated with metaplex. They will regroup.,657848787473268746,2022-07-26T23:23:02.751000+00:00
41,1001630621728251935,Question guys is there a reason why my collection isn’t showing all in the same folder?,219657497194004480,2022-07-26T23:22:29.617000+00:00
42,1001630532075016242,Just minted a few…checkin out dc vibes,876200667620991017,2022-07-26T23:22:08.242000+00:00
43,1001630346951016570,LFG,559395997198057472,2022-07-26T23:21:24.105000+00:00
44,1001630296657117298,Just tweeted 💪🏻💪🏻💪🏻,879287188666351646,2022-07-26T23:21:12.114000+00:00
45,1001630285538021516,"Suiiii, 1k minted",757103854859976825,2022-07-26T23:21:09.463000+00:00
46,1001630033233858660,@everyone Everyone tweet out your mints and tag us on twitter so we can retweet.,657848787473268746,2022-07-26T23:20:09.309000+00:00
47,1001629867030364240,retweeting everyone ❤️,657848787473268746,2022-07-26T23:19:29.683000+00:00
48,1001629838987251862,https://discord.com/channels/986592672762429500/986595028535242792/1001617331501416458,657848787473268746,2022-07-26T23:19:22.997000+00:00
49,1001629798038249522,Alright,879287188666351646,2022-07-26T23:19:13.234000+00:00
50,1001629769584103465,Already did,559395997198057472,2022-07-26T23:19:06.450000+00:00
51,1001629736587513946,We should start twitting our skellys and get the skelly dao retweet everyone that post I’m sure we will gain a lot of movement <@657848787473268746>,879287188666351646,2022-07-26T23:18:58.583000+00:00
52,1001629728437973106,,439050944420773888,2022-07-26T23:18:56.640000+00:00
53,1001629308957249627,Slow and steady wins the race,879287188666351646,2022-07-26T23:17:16.628000+00:00
54,1001629232784482334,Woohoo,559395997198057472,2022-07-26T23:16:58.467000+00:00
55,1001628797055021116,<a:pepedance:996049912326262904>,657848787473268746,2022-07-26T23:15:14.581000+00:00
56,1001628794580377680,Someone trade me a skelly that’s smoking I didn’t get one smoking,879287188666351646,2022-07-26T23:15:13.991000+00:00
57,1001628613264801922,20%lfg gooo 🔥🔥🔥,879287188666351646,2022-07-26T23:14:30.762000+00:00
58,1001627950531219558,❤️,657848787473268746,2022-07-26T23:11:52.754000+00:00
59,1001626909634985995,No harm in slow mint let it run and see if it slows down at any point but for the current market we doing pretty good arts great 🔥🔥,879287188666351646,2022-07-26T23:07:44.585000+00:00
60,1001625765827330138,<:pepeheart:953254391387914260> Appreciate it buddy,657848787473268746,2022-07-26T23:03:11.880000+00:00
61,1001625639297765447,"Minted myself another 5 from my refund, love the work you put in <@657848787473268746>",795006106068975658,2022-07-26T23:02:41.713000+00:00
62,1001623433244844032,"I think supply is a bit high for today
but this art worth to be fully minted",697521846177890314,2022-07-26T22:53:55.749000+00:00
63,1001622591661940756,We'll let it run for a bit and then take a vote at some point if it doesn't sell out,657848787473268746,2022-07-26T22:50:35.100000+00:00
64,1001622270709600266,I also stick on 10,697521846177890314,2022-07-26T22:49:18.579000+00:00
65,1001622148261101618,Mine are showing up in different groups,479741530534445067,2022-07-26T22:48:49.385000+00:00
66,1001622026294939668,hey bud,697521846177890314,2022-07-26T22:48:20.306000+00:00
67,1001621854722740336,I got a nice one,337606130354356224,2022-07-26T22:47:39.400000+00:00
68,1001621350542221373,what site,697521846177890314,2022-07-26T22:45:39.194000+00:00
69,1001621281797574717,for unlock,558353309103292437,2022-07-26T22:45:22.804000+00:00
70,1001621260150771853,"for how long you plan to run mint, Robert? till sold out?",697521846177890314,2022-07-26T22:45:17.643000+00:00
71,1001621249123954741,guys what is the password for the site? 😅,558353309103292437,2022-07-26T22:45:15.014000+00:00
72,1001620865512898681,❤️,657848787473268746,2022-07-26T22:43:43.554000+00:00
73,1001620854452527238,Only as many as you want,657848787473268746,2022-07-26T22:43:40.917000+00:00
74,1001620818863861760,❤️,657848787473268746,2022-07-26T22:43:32.432000+00:00
75,1001620562709336106,LLLFFFGGG 😎🚀,558353309103292437,2022-07-26T22:42:31.360000+00:00
76,1001620261528944721,Do i need 20 of these?,247174760923004928,2022-07-26T22:41:19.553000+00:00
77,1001617802534342676,welcome!,657848787473268746,2022-07-26T22:31:33.283000+00:00
78,1001617359783612447,hello guys,697521846177890314,2022-07-26T22:29:47.723000+00:00
79,1001615497290338354,noice,585293621259927569,2022-07-26T22:22:23.670000+00:00
80,1001615023401082942,Yeah really clean,879287188666351646,2022-07-26T22:20:30.686000+00:00
81,1001614420943851620,That's clean,657848787473268746,2022-07-26T22:18:07.049000+00:00
82,1001613519852163082,Rank 176,879287188666351646,2022-07-26T22:14:32.212000+00:00
83,1001612953830830180,That's fine. We'll see what happens and work with what we can ❤️,657848787473268746,2022-07-26T22:12:17.262000+00:00
84,1001612710443749468,0.1 is probs too much imo,948309236671217704,2022-07-26T22:11:19.234000+00:00
85,1001611209340100718,botters having problems on LMNFT is what i know,531968573367648266,2022-07-26T22:05:21.343000+00:00
86,1001611167107653752,"Answering some dms and other things atm, but will hop in to chat shortly ❤️",657848787473268746,2022-07-26T22:05:11.274000+00:00
87,1001610060629286933,This one is my favorite,559395997198057472,2022-07-26T22:00:47.469000+00:00
88,1001610001107910808,,559395997198057472,2022-07-26T22:00:33.278000+00:00
89,1001609795331178611,You have a role,861623230858919957,2022-07-26T21:59:44.217000+00:00
90,1001609620743270532,🔥🔥🔥,819234025255469106,2022-07-26T21:59:02.592000+00:00
91,1001609520319041596,yo,792459735764041749,2022-07-26T21:58:38.649000+00:00
92,1001609183105404989,I dont have a sniper cove XD I'm stuck at the visitor gate. Either give me a temp role  or it'll have to wait until later 😛,657848787473268746,2022-07-26T21:57:18.251000+00:00
93,1001609106605482017,Cum snipercove,681296664924782600,2022-07-26T21:57:00.012000+00:00
