,Msg_id,Chat_msg,Author_id,Time_stamp
0,1001640009268473936,you could have just mentioned the time or let someone else respond,787189255629307944,2022-07-26T23:59:47.781000+00:00
1,1001639916410785822,thanks boo,787189255629307944,2022-07-26T23:59:25.642000+00:00
2,1001639914254913626,I’m cool with everyone,964220826738110564,2022-07-26T23:59:25.128000+00:00
3,1001639817253232682,4pm baby,934468745664020521,2022-07-26T23:59:02.001000+00:00
4,1001639713846866052,<#977996154136559658>,975697412112924672,2022-07-26T23:58:37.347000+00:00
5,1001639554517848154,what's the minting time in UTC? anyone?,787189255629307944,2022-07-26T23:57:59.360000+00:00
6,1001639381804798032,🚀🚀🚀,975697412112924672,2022-07-26T23:57:18.182000+00:00
7,1001639253517811772,Sign,906916044910788618,2022-07-26T23:56:47.596000+00:00
8,1001639240196685854,Guy I don taya... Make i sleep,982084154114072638,2022-07-26T23:56:44.420000+00:00
9,1001639175998689401,Lmao,943989902947803156,2022-07-26T23:56:29.114000+00:00
10,1001639169040326777,Specifically?,934468745664020521,2022-07-26T23:56:27.455000+00:00
11,1001639101851779132,"What part of the announcement, ser?",934468745664020521,2022-07-26T23:56:11.436000+00:00
12,1001638978665066676,"Then just keep quiet 
And stop promoting squabble",848151570151505950,2022-07-26T23:55:42.066000+00:00
13,1001638961619423273,done since bruh,897154180635066369,2022-07-26T23:55:38.002000+00:00
14,1001638947413315694,Hello,958787151582081074,2022-07-26T23:55:34.615000+00:00
15,1001638867411144824,Hello,346373453961494528,2022-07-26T23:55:15.541000+00:00
16,1001638849677631589,Hi,970866780383887450,2022-07-26T23:55:11.313000+00:00
17,1001638846083113000,Measures have been out in place,346373453961494528,2022-07-26T23:55:10.456000+00:00
18,1001638839271559168,Hi,895957317907017759,2022-07-26T23:55:08.832000+00:00
19,1001638761903444018,Check out the <#977996154136559658> fam,346373453961494528,2022-07-26T23:54:50.386000+00:00
20,1001638687165124661,Ok. I jxt checked nw sef,949195336386236426,2022-07-26T23:54:32.567000+00:00
21,1001638681993543781,ayo,767541792181977098,2022-07-26T23:54:31.334000+00:00
22,1001638664104853524,????,901929322154188810,2022-07-26T23:54:27.069000+00:00
23,1001638558379028621,Wahala I think say bears dey mind their words make dem no roast them,949195336386236426,2022-07-26T23:54:01.862000+00:00
24,1001638558261588139,What does the team plan to do to combat undercutters and prevent the project from going underwater?,934468745664020521,2022-07-26T23:54:01.834000+00:00
25,1001638545267642409,"He’s not online 
Just watch out for him in the morning",975697412112924672,2022-07-26T23:53:58.736000+00:00
26,1001638509209194536,My guy! I’m good.,901929322154188810,2022-07-26T23:53:50.139000+00:00
27,1001638395224793099,"Please guys, stop the slander too, we're so close to mint, would bea shame to have to ban people now",346373453961494528,2022-07-26T23:53:22.963000+00:00
28,1001638305361825844,"<@827199402971758623> , still waiting on u for that wl ser",949195336386236426,2022-07-26T23:53:01.538000+00:00
29,1001638062889111583,Where are you from fam??,346373453961494528,2022-07-26T23:52:03.728000+00:00
30,1001638006651883640,Heyyyy,721872845323632671,2022-07-26T23:51:50.320000+00:00
31,1001637973277810788,Lol,895469681580843078,2022-07-26T23:51:42.363000+00:00
32,1001637944983027752,Shalaye fc,975697412112924672,2022-07-26T23:51:35.617000+00:00
33,1001637843967410186,I will never be mean to people regardless of their race or color. We also have Nigerians here lot of em,964220826738110564,2022-07-26T23:51:11.533000+00:00
34,1001637651973152838,We have a racist here mod,975697412112924672,2022-07-26T23:50:25.758000+00:00
35,1001637648768712786,Hello what’s up,973946583634821130,2022-07-26T23:50:24.994000+00:00
36,1001637589217972386,Yessssur <a:Anime:978365273285492786> <a:Anime:978365273285492786>,346373453961494528,2022-07-26T23:50:10.796000+00:00
37,1001637533098201248,😂😂,949195336386236426,2022-07-26T23:49:57.416000+00:00
38,1001637528404770857,"With this statement, u just proved that we r better than you, afterall",895469681580843078,2022-07-26T23:49:56.297000+00:00
39,1001637458305368124,So u knw wat is wrong and right yet u decided to be slave to ur molly,949195336386236426,2022-07-26T23:49:39.584000+00:00
40,1001637386234634320,Hi guys!,901929322154188810,2022-07-26T23:49:22.401000+00:00
41,1001637372804464741,Homeless I think,975697412112924672,2022-07-26T23:49:19.199000+00:00
42,1001637338478293043,Not wrong to be racist? You r just a narcissistic mushroom,895469681580843078,2022-07-26T23:49:11.015000+00:00
43,1001637313631244359,It’s the truth. I’m sure you will be mean to Nigerians in your fking country. Hand go soon touch you. Bloody racist!,975697412112924672,2022-07-26T23:49:05.091000+00:00
44,1001637252037869629,Hi guys,947932764626378764,2022-07-26T23:48:50.406000+00:00
45,1001637201517482054,"Baba dey cry for help, but shey u no get comrade ni , lone ranger",949195336386236426,2022-07-26T23:48:38.361000+00:00
46,1001637139097845872,Stop saying that it’s totally wrong,964220826738110564,2022-07-26T23:48:23.479000+00:00
47,1001636955982934106,Thanks comrade 🐐,949195336386236426,2022-07-26T23:47:39.821000+00:00
48,1001636931655974921,He needs to see you instead. Racist kandell,975697412112924672,2022-07-26T23:47:34.021000+00:00
49,1001636789292896306,<@827199402971758623> wl our fellow comrade please,895469681580843078,2022-07-26T23:47:00.079000+00:00
50,1001636769982332999,🤡,975697412112924672,2022-07-26T23:46:55.475000+00:00
51,1001636725317173328,<@827199402971758623> you need to see this,964220826738110564,2022-07-26T23:46:44.826000+00:00
52,1001636652898332773,😂,895469681580843078,2022-07-26T23:46:27.560000+00:00
53,1001636632593698918,Hi,964855139871625227,2022-07-26T23:46:22.719000+00:00
54,1001636384672579665,I will. Oya do your worst,975697412112924672,2022-07-26T23:45:23.610000+00:00
55,1001636374224588851,Rest!!,972653920021266453,2022-07-26T23:45:21.119000+00:00
56,1001636140949962812,"Says the clown that can't differentiate 'Then' from 'Than'
Stfu",982084154114072638,2022-07-26T23:44:25.502000+00:00
57,1001636128975233024,The art is fire don’t sell for peanuts,964220826738110564,2022-07-26T23:44:22.647000+00:00
58,1001635575423574037,Pumped for the mint I see🚀🚀,873249099422502922,2022-07-26T23:42:10.670000+00:00
59,1001635461078462545,😂 😂 😂,935694392885411901,2022-07-26T23:41:43.408000+00:00
60,1001635228118429728,<@827199402971758623> let  rain of wl touch me too oh,949195336386236426,2022-07-26T23:40:47.866000+00:00
61,1001635005572841654,Omo. I don forget myself oh🤔,949195336386236426,2022-07-26T23:39:54.807000+00:00
62,1001634830456455188,Your Papa 👴,972653920021266453,2022-07-26T23:39:13.056000+00:00
63,1001634816720126112,Thanks man,949195336386236426,2022-07-26T23:39:09.781000+00:00
64,1001634790962905140,Abeg get out,975697412112924672,2022-07-26T23:39:03.640000+00:00
65,1001634738890616832,You came late o. E don dey rain WL here since,975697412112924672,2022-07-26T23:38:51.225000+00:00
66,1001634683060228096,Lol just don’t sell the project for peanuts,964220826738110564,2022-07-26T23:38:37.914000+00:00
67,1001634669827199146,<@827199402971758623> biko WL our very own 😁,975697412112924672,2022-07-26T23:38:34.759000+00:00
68,1001634581755211839,"<@827199402971758623> , wl me 🙏🙏",949195336386236426,2022-07-26T23:38:13.761000+00:00
69,1001634465048711188,Vawulence premium 😂,949195336386236426,2022-07-26T23:37:45.936000+00:00
70,1001634419561484410,Dfkm😂,975697412112924672,2022-07-26T23:37:35.091000+00:00
