,Msg_id,Chat_msg,Author_id,Time_stamp
0,1002001970669821982,almost there 👀,916442434878185507,2022-07-27T23:58:06.104000+00:00
1,1002001951682211890,hey guys,916442434878185507,2022-07-27T23:58:01.577000+00:00
2,1002001657468555404,"GG <@893860096700973066>, you just advanced to level 2<:cat_sunglasses:991733790080774155>",159985870458322944,2022-07-27T23:56:51.431000+00:00
3,1002001655832789055,<:emoji_6:1000499071036964974>,893860096700973066,2022-07-27T23:56:51.041000+00:00
4,1001999534085386322,Good night 🌙💤,337017254719782932,2022-07-27T23:48:25.177000+00:00
5,1001998883582398495,gm,284564322762489856,2022-07-27T23:45:50.085000+00:00
6,1001997985841942658,Hey fam,257982651397308433,2022-07-27T23:42:16.047000+00:00
7,1001996716305821736,Like this a lot… next KPI on my list <#938763734615195668>,987720690847342662,2022-07-27T23:37:13.366000+00:00
8,1001993744914055299,😎,368457973925675010,2022-07-27T23:25:24.931000+00:00
9,1001993263789645914,See you tomorrow,337017254719782932,2022-07-27T23:23:30.222000+00:00
10,1001993151617187860,,337017254719782932,2022-07-27T23:23:03.478000+00:00
11,1001993054124789832,See you all tomorrow… minting time !!!,987720690847342662,2022-07-27T23:22:40.234000+00:00
12,1001992225640685678,Hey,337017254719782932,2022-07-27T23:19:22.708000+00:00
13,1001991791026909374,Hey ✌️,506130770033770516,2022-07-27T23:17:39.088000+00:00
14,1001990629724790885,Wad up,918819994706534411,2022-07-27T23:13:02.212000+00:00
15,1001989831959773354,Yeah. It says whitelisted on your Discord profile ✅,337017254719782932,2022-07-27T23:09:52.010000+00:00
16,1001989682063745175,I see you are whitelisted <@966069534182232155> 🚀 Make sure you are joining in at the mint. It’s over subscribed,337017254719782932,2022-07-27T23:09:16.272000+00:00
17,1001989655689965699,If I claimed on mercury im good right,868652723816525885,2022-07-27T23:09:09.984000+00:00
18,1001989473426493530,Hey 👋,337017254719782932,2022-07-27T23:08:26.529000+00:00
19,1001989393185243137,"GG <@337017254719782932>, you just advanced to level 4<:cat_sunglasses:991733790080774155>",159985870458322944,2022-07-27T23:08:07.398000+00:00
20,1001989391759192184,"<@617203428552343574> will only be one round apparently, sorry for wrong info before.",337017254719782932,2022-07-27T23:08:07.058000+00:00
21,1001989148636364840,Good to know. Thanks for the info,337017254719782932,2022-07-27T23:07:09.093000+00:00
22,1001989091514126407,"GG <@966069534182232155>, you just advanced to level 1<:cat_sunglasses:991733790080774155>",159985870458322944,2022-07-27T23:06:55.474000+00:00
23,1001989090289401966,hi guys,966069534182232155,2022-07-27T23:06:55.182000+00:00
24,1001988877210374145,There will only be 1 round <:cat_sunglasses:991733790080774155>,357454677715058690,2022-07-27T23:06:04.380000+00:00
25,1001988032364302496,Gn,357454677715058690,2022-07-27T23:02:42.953000+00:00
26,1001987993705385994,"4000 applied, only 2000 NFT",337017254719782932,2022-07-27T23:02:33.736000+00:00
27,1001987925157883945,what does oversubscribed mean,617203428552343574,2022-07-27T23:02:17.393000+00:00
28,1001987852726435870,Need to wait for the next round bro. It’s oversubscribed by 200%,337017254719782932,2022-07-27T23:02:00.124000+00:00
29,1001987661675909190,plz let me get WL 🙂,617203428552343574,2022-07-27T23:01:14.574000+00:00
30,1001987546118627379,Good night 💤 Get some rest before the mint tomorrow. Big day.,337017254719782932,2022-07-27T23:00:47.023000+00:00
31,1001987264550805615,Gn,381795340678070273,2022-07-27T22:59:39.892000+00:00
32,1001987032958107708,👋,337017254719782932,2022-07-27T22:58:44.676000+00:00
33,1001986991535165512,Same here,337017254719782932,2022-07-27T22:58:34.800000+00:00
34,1001986921456734218,hey,999701596847996958,2022-07-27T22:58:18.092000+00:00
35,1001986895846326314,hi,706590401250852926,2022-07-27T22:58:11.986000+00:00
36,1001986893078073404,cant wait,999701596847996958,2022-07-27T22:58:11.326000+00:00
37,1001986768419180625,Private access to the terminal 🤩,337017254719782932,2022-07-27T22:57:41.605000+00:00
38,1001986632792150186,"GG <@307880340871970818>, you just advanced to level 1<:cat_sunglasses:991733790080774155>",159985870458322944,2022-07-27T22:57:09.269000+00:00
39,1001986631525474394,Yeaaah 🙂,307880340871970818,2022-07-27T22:57:08.967000+00:00
40,1001986466764828772,I know! Super nice 🚀,337017254719782932,2022-07-27T22:56:29.685000+00:00
41,1001986325588754572,"Yeah, for this round",337017254719782932,2022-07-27T22:55:56.026000+00:00
42,1001986283024949348,Wl close?,967122605071020032,2022-07-27T22:55:45.878000+00:00
43,1001986267791228948,Too late buddy,337017254719782932,2022-07-27T22:55:42.246000+00:00
44,1001986233712521266,Yo,337017254719782932,2022-07-27T22:55:34.121000+00:00
45,1001986233045614602,are WL still open,617203428552343574,2022-07-27T22:55:33.962000+00:00
46,1001986209175847063,yo,617203428552343574,2022-07-27T22:55:28.271000+00:00
47,1001986193858244780,Hey 👋,337017254719782932,2022-07-27T22:55:24.619000+00:00
48,1001986165185978368,"1 day left,yahoo",307880340871970818,2022-07-27T22:55:17.783000+00:00
49,1001986131090485340,Hello,707577972210663516,2022-07-27T22:55:09.654000+00:00
50,1001986123238748180,<@991385004603080714> make my day 🍀,337017254719782932,2022-07-27T22:55:07.782000+00:00
51,1001985030819688448,"If you wish, you can grant it now. Already connected my wallet to buy mint tomorrow.",337017254719782932,2022-07-27T22:50:47.329000+00:00
52,1001984744168378459,"I will be part of the mint as well, already whitelisted",337017254719782932,2022-07-27T22:49:38.986000+00:00
53,1001984542665605300,Well to avoid any miscommunication with the mint team I'll assign your role after the mint is completed.,991385004603080714,2022-07-27T22:48:50.944000+00:00
54,1001984401292410910,I still want to be OG. I really like this community and want to help others as I learn more and more myself,337017254719782932,2022-07-27T22:48:17.238000+00:00
55,1001984390152343632,Gotcha all good 😃,876035306783117312,2022-07-27T22:48:14.582000+00:00
56,1001984305859395774,"Unfortunately no more time, sorry good sir.",991385004603080714,2022-07-27T22:47:54.485000+00:00
57,1001984251442511944,Hey from shin sengoku! Just posted proof in <#999520253065302106> if there is still time 🙏,876035306783117312,2022-07-27T22:47:41.511000+00:00
58,1001984247906713721,"GG <@991385004603080714>, you just advanced to level 7<:cat_sunglasses:991733790080774155>",159985870458322944,2022-07-27T22:47:40.668000+00:00
59,1001984246551957505,unfortunately og would serve no benefit at the moment,991385004603080714,2022-07-27T22:47:40.345000+00:00
60,1001984120320176270,<@991385004603080714> can you make me OG? I want to be part of core community,337017254719782932,2022-07-27T22:47:10.249000+00:00
61,1001983744615399594,LO,451223033894535168,2022-07-27T22:45:40.674000+00:00
62,1001983563253690378,"WL submissions are closed good sir, no point in any further WLing",991385004603080714,2022-07-27T22:44:57.434000+00:00
63,1001983420781572136,"GG <@337017254719782932>, you just advanced to level 3<:cat_sunglasses:991733790080774155>",159985870458322944,2022-07-27T22:44:23.466000+00:00
64,1001983419191930911,I’m the one that has to thank you guys for an awesome service,337017254719782932,2022-07-27T22:44:23.087000+00:00
65,1001982334670737630,i won wl,484434489192349716,2022-07-27T22:40:04.517000+00:00
66,1001982317629276281,check my ticket pl,484434489192349716,2022-07-27T22:40:00.454000+00:00
67,1001982195600208004,Yessir,991385004603080714,2022-07-27T22:39:31.360000+00:00
68,1001982170740555827,Ty good sir 😄,991385004603080714,2022-07-27T22:39:25.433000+00:00
69,1001982140134735882,"If I'm not wrong though, it's done through scraping? That's something <@923401033655386122> willn eed to answer though",991385004603080714,2022-07-27T22:39:18.136000+00:00
70,1001982061873209405,<#934677041691885608>,991385004603080714,2022-07-27T22:38:59.477000+00:00
71,1001981912337879040,✅,760121719343415308,2022-07-27T22:38:23.825000+00:00
72,1001981906017058847,any mods here?,484434489192349716,2022-07-27T22:38:22.318000+00:00
73,1001981009283256371,Hello from Baked Beavers,311209641545826304,2022-07-27T22:34:48.520000+00:00
74,1001980818903793664,sup people,392581396562182145,2022-07-27T22:34:03.130000+00:00
75,1001980650917732352,hey all,910996788398391426,2022-07-27T22:33:23.079000+00:00
76,1001980584224100534,<@923401033655386122> boosted your server 🚀🚀🚀,337017254719782932,2022-07-27T22:33:07.178000+00:00
77,1001980488749154404,Hope I still can get this wl 🥲,311209641545826304,2022-07-27T22:32:44.415000+00:00
78,1001980448370593832,I also submitted my proof in <#1001964316100149298>,311209641545826304,2022-07-27T22:32:34.788000+00:00
79,1001980234175893604,"GG <@856379774527995925>, you just advanced to level 1<:cat_sunglasses:991733790080774155>",159985870458322944,2022-07-27T22:31:43.720000+00:00
80,1001980232938553354,heey,856379774527995925,2022-07-27T22:31:43.425000+00:00
81,1001979902351909034,Yoo guys!,311209641545826304,2022-07-27T22:30:24.607000+00:00
82,1001979900263141528,Submitted proof here <#1001964316100149298>,896308153275256843,2022-07-27T22:30:24.109000+00:00
