,Msg_id,Chat_msg,Author_id,Time_stamp
0,970474363314913290,<a:wavers:954829284114051072>,353753455992635392,2022-05-01T23:58:38.756000+00:00
1,970474133114732605,,218063794700550144,2022-05-01T23:57:43.872000+00:00
2,970473639772299284,<a:peepo_wave:919151146340347984>,180658287010775041,2022-05-01T23:55:46.250000+00:00
3,970471268556079234,,648235365039341589,2022-05-01T23:46:20.908000+00:00
4,970468138267332658,Nice,783757795294969856,2022-05-01T23:33:54.589000+00:00
5,970467669864251393,Havent put anything in at all either,648235365039341589,2022-05-01T23:32:02.913000+00:00
6,970467635571589140,Up .35 in profit,648235365039341589,2022-05-01T23:31:54.737000+00:00
7,970467614121934878,Neon has been pretty nice to me,648235365039341589,2022-05-01T23:31:49.623000+00:00
8,970467176416964608,Only project making me money so far lmaooo,783757795294969856,2022-05-01T23:30:05.266000+00:00
9,970466692381700126,Damm,648235365039341589,2022-05-01T23:28:09.863000+00:00
10,970466520952107028,It was 1.5 sol in DUST to mint,783757795294969856,2022-05-01T23:27:28.991000+00:00
11,970466455231541279,Yeah I lucked out big time,783757795294969856,2022-05-01T23:27:13.322000+00:00
12,970466429684027402,Cant afford that,648235365039341589,2022-05-01T23:27:07.231000+00:00
13,970466417814167593,Dang,648235365039341589,2022-05-01T23:27:04.401000+00:00
14,970466374549901342,You need their Key NFT to get access,783757795294969856,2022-05-01T23:26:54.086000+00:00
15,970466307046801448,FP is 24 SOL now,783757795294969856,2022-05-01T23:26:37.992000+00:00
16,970466205041328199,Waiting for coinbase to credit my account so I can move it and test,783757795294969856,2022-05-01T23:26:13.672000+00:00
17,970466094697553930,I have no sol atm,783757795294969856,2022-05-01T23:25:47.364000+00:00
18,970466054545481788,I haven’t started but I did get to mint one,783757795294969856,2022-05-01T23:25:37.791000+00:00
19,970465453325549588,Is that open to anyone?,648235365039341589,2022-05-01T23:23:14.449000+00:00
20,970465398296305675,You use the Zion labs snipe bot? How you like it?,353753455992635392,2022-05-01T23:23:01.329000+00:00
21,970465174261731378,Lol,783757795294969856,2022-05-01T23:22:07.915000+00:00
22,970465034201362442,At mario kart,648235365039341589,2022-05-01T23:21:34.522000+00:00
23,970465022021095434,Nah i played against them,648235365039341589,2022-05-01T23:21:31.618000+00:00
24,970465003520008263,Need tenkai on Zion labs snipe bot 👀👀👀,783757795294969856,2022-05-01T23:21:27.207000+00:00
25,970464865141547008,Tenkai skins,783757795294969856,2022-05-01T23:20:54.215000+00:00
26,970464839489159188,Haha this would be amazing,783757795294969856,2022-05-01T23:20:48.099000+00:00
27,970463348380549170,I also played mario kart with my tenkai but thats a different thing,648235365039341589,2022-05-01T23:14:52.591000+00:00
28,970463307217633311,So it has to be real,648235365039341589,2022-05-01T23:14:42.777000+00:00
29,970463286053179432,I had a dream yesterday about it,648235365039341589,2022-05-01T23:14:37.731000+00:00
30,970463265471758387,First 1000 sol FP project on solana,648235365039341589,2022-05-01T23:14:32.824000+00:00
31,970463070180769842,tenkai apes,949560272379584522,2022-05-01T23:13:46.263000+00:00
32,970463057451036723,"That’s why no one saw WL token in their wallets today, it showed on solscan but on Solana end it didn’t show",353753455992635392,2022-05-01T23:13:43.228000+00:00
33,970463021879140413,Fr,648235365039341589,2022-05-01T23:13:34.747000+00:00
34,970463006062411816,its very cool collection,949560272379584522,2022-05-01T23:13:30.976000+00:00
35,970462993718591588,Didnt want to givev false info,648235365039341589,2022-05-01T23:13:28.033000+00:00
36,970462948973748274,"Yeah, but i wanted to make sure it would be the same",648235365039341589,2022-05-01T23:13:17.365000+00:00
37,970462936676052993,Was trying to be a bit optimistic lmao,783757795294969856,2022-05-01T23:13:14.433000+00:00
38,970462893415989249,That’s why communi3 postponed until 4th,353753455992635392,2022-05-01T23:13:04.119000+00:00
39,970462869516861522,Yeah,783757795294969856,2022-05-01T23:12:58.421000+00:00
40,970462837627572274,It didn’t 😂,353753455992635392,2022-05-01T23:12:50.818000+00:00
41,970462788906520596,<@648235365039341589> we use Metahelix nft for LOS,353753455992635392,2022-05-01T23:12:39.202000+00:00
42,970462778622111795,Hope their upgrades fix some things but will see,783757795294969856,2022-05-01T23:12:36.750000+00:00
43,970462775098884206,solana ↘️,949560272379584522,2022-05-01T23:12:35.910000+00:00
44,970462733818535956,Nice. Glad it went smoothly… who ecosystem took a dump since mid last week and having trouble,783757795294969856,2022-05-01T23:12:26.068000+00:00
45,970462678822813747,yeah,949560272379584522,2022-05-01T23:12:12.956000+00:00
46,970462593527459910,I’m not allowed to watch anime?,648235365039341589,2022-05-01T23:11:52.620000+00:00
47,970462574732771439,No?,648235365039341589,2022-05-01T23:11:48.139000+00:00
48,970462550447767622,no,949560272379584522,2022-05-01T23:11:42.349000+00:00
49,970462523356745728,It was a good day even with all the issues on Solana,353753455992635392,2022-05-01T23:11:35.890000+00:00
50,970462516461334568,Hbu?,648235365039341589,2022-05-01T23:11:34.246000+00:00
51,970462512610943006,Just watching some anime,648235365039341589,2022-05-01T23:11:33.328000+00:00
52,970462485293441104,,783757795294969856,2022-05-01T23:11:26.815000+00:00
53,970462481887666256,wsp,949560272379584522,2022-05-01T23:11:26.003000+00:00
54,970462447427264572,thank you,949560272379584522,2022-05-01T23:11:17.787000+00:00
55,970462425973407775,Hey,648235365039341589,2022-05-01T23:11:12.672000+00:00
56,970462405098373150,how are you today,949560272379584522,2022-05-01T23:11:07.695000+00:00
57,970462402674040893,FOFLA welcome back!,353753455992635392,2022-05-01T23:11:07.117000+00:00
58,970462375805333535,Sweet,783757795294969856,2022-05-01T23:11:00.711000+00:00
59,970462374307987477,Hello mate,949560272379584522,2022-05-01T23:11:00.354000+00:00
60,970462333048590386,Its steejos bot that was built along side the staking platform,353753455992635392,2022-05-01T23:10:50.517000+00:00
61,970462332482383902,Sup fam,783757795294969856,2022-05-01T23:10:50.382000+00:00
62,970462319681355847,i m back,949560272379584522,2022-05-01T23:10:47.330000+00:00
63,970462291822792825,Hi guys,949560272379584522,2022-05-01T23:10:40.688000+00:00
64,970462128618213455,Oh cool,783757795294969856,2022-05-01T23:10:01.777000+00:00
65,970462101300736080,We will be using the MarketMaker bot however,353753455992635392,2022-05-01T23:09:55.264000+00:00
66,970462083449770044,Never thought to ask b4 mint,648235365039341589,2022-05-01T23:09:51.008000+00:00
67,970462049819820062,Yeah metahelix nfts get the services for free,353753455992635392,2022-05-01T23:09:42.990000+00:00
68,970462044539224165,Yeah,648235365039341589,2022-05-01T23:09:41.731000+00:00
69,970461910443122708,No worries was just curious,783757795294969856,2022-05-01T23:09:09.760000+00:00
70,970461872606298133,I’ll tell you when i get a response,648235365039341589,2022-05-01T23:09:00.739000+00:00
71,970461870664335431,Holder of a metahelix that is,783757795294969856,2022-05-01T23:09:00.276000+00:00
72,970461854780489728,I asked,648235365039341589,2022-05-01T23:08:56.489000+00:00
73,970461797154979890,If you go metahelix route holders get it for free I think,783757795294969856,2022-05-01T23:08:42.750000+00:00
74,970461764707823636,I’ll ask,648235365039341589,2022-05-01T23:08:35.014000+00:00
75,970461743979573248,Sorry,648235365039341589,2022-05-01T23:08:30.072000+00:00
76,970461731149213696,No idea,648235365039341589,2022-05-01T23:08:27.013000+00:00
77,970461707090665552,Are you guys gunna use matrica or meta helix to verify?,783757795294969856,2022-05-01T23:08:21.277000+00:00
78,970461599565500436,,648235365039341589,2022-05-01T23:07:55.641000+00:00
79,970461565021220915,,783757795294969856,2022-05-01T23:07:47.405000+00:00
80,970461512663728188,There were also some spots given the day before mint to people to fill up remaining spots,648235365039341589,2022-05-01T23:07:34.922000+00:00
81,970461465997873252,🙂,871499642104340491,2022-05-01T23:07:23.796000+00:00
82,970461463011553291,"WL was just people who were active, won giveaways, or participated in community events",648235365039341589,2022-05-01T23:07:23.084000+00:00
83,970461354039345172,What was WL selected for?,871499642104340491,2022-05-01T23:06:57.103000+00:00
84,970461051063779359,So it literally is revision lol,648235365039341589,2022-05-01T23:05:44.868000+00:00
85,970461023045836830,Besdies the tokenomics is economics right?,648235365039341589,2022-05-01T23:05:38.188000+00:00
86,970460904405757952,On the 4th,648235365039341589,2022-05-01T23:05:09.902000+00:00
87,970460861913247794,I got time,648235365039341589,2022-05-01T23:04:59.771000+00:00
88,970460848462102559,It’s due in 2 days anyway,648235365039341589,2022-05-01T23:04:56.564000+00:00
89,970460825980661760,,353753455992635392,2022-05-01T23:04:51.204000+00:00
90,970460664147611798,Ima do it tmr,648235365039341589,2022-05-01T23:04:12.620000+00:00
91,970460656035844136,only time will tell,353753455992635392,2022-05-01T23:04:10.686000+00:00
92,970460650973327431,I just dont wanna do it at midnight lol,648235365039341589,2022-05-01T23:04:09.479000+00:00
93,970460610607325194,who needs homework when you can learn tokenomics in the jungle,353753455992635392,2022-05-01T23:03:59.855000+00:00
94,970460592206921738,Or higher,648235365039341589,2022-05-01T23:03:55.468000+00:00
95,970460576369238058,I wouldnt be surprised if it reached around the $1 mark,648235365039341589,2022-05-01T23:03:51.692000+00:00
96,970460550473580634,correct my son,353753455992635392,2022-05-01T23:03:45.518000+00:00
97,970460529929891960,Not the **END** value,648235365039341589,2022-05-01T23:03:40.620000+00:00
98,970460510283771904,It’s an **INITAL** value,648235365039341589,2022-05-01T23:03:35.936000+00:00
99,970460461944410152,it wouldn't sky rocket the value of the token but it would make it more stable as we add more to the LP,353753455992635392,2022-05-01T23:03:24.411000+00:00
100,970460410132197468,As far as i understand,648235365039341589,2022-05-01T23:03:12.058000+00:00
101,970460384895041546,"And as a result, the more each invidual token is worth",648235365039341589,2022-05-01T23:03:06.041000+00:00
102,970460345787359313,"The more that gets minted, the more can be put into the LP",648235365039341589,2022-05-01T23:02:56.717000+00:00
103,970460305169711164,Based on the amount minted,648235365039341589,2022-05-01T23:02:47.033000+00:00
104,970460281031508088,<@871499642104340491> the value of the token in the announcement is the current value,648235365039341589,2022-05-01T23:02:41.278000+00:00
105,970460220130226277,xD,648235365039341589,2022-05-01T23:02:26.758000+00:00
106,970460151951790080,okay back to dinner,353753455992635392,2022-05-01T23:02:10.503000+00:00
107,970460122172260383,put the community ACTUALLY first 😂,353753455992635392,2022-05-01T23:02:03.403000+00:00
108,970460068246085662,no one understand becuase no team has ever done this lol,353753455992635392,2022-05-01T23:01:50.546000+00:00
109,970459930438025256,It’s gonna go up with time dw,648235365039341589,2022-05-01T23:01:17.690000+00:00
110,970459814830420008,Ohhhhhhh,648235365039341589,2022-05-01T23:00:50.127000+00:00
111,970459790893522964,"i think he means the price of $Tenkai?

We will be funding the LP to have a initial value of 0.17$

the team allocated the mint proceeds so far to start it up for our holders.",353753455992635392,2022-05-01T23:00:44.420000+00:00
112,970459241649430599,Solana shitting the bed anyway,648235365039341589,2022-05-01T22:58:33.470000+00:00
113,970459210263457822,It’s public now,648235365039341589,2022-05-01T22:58:25.987000+00:00
114,970459194379620373,No need for it,648235365039341589,2022-05-01T22:58:22.200000+00:00
115,970459159080366130,Wtf price of token?,871499642104340491,2022-05-01T22:58:13.784000+00:00
116,970458979887099986,I was about to go into cardiac arrest,648235365039341589,2022-05-01T22:57:31.061000+00:00
117,970458943707054101,Good,648235365039341589,2022-05-01T22:57:22.435000+00:00
118,970458433717420058,For*,648235365039341589,2022-05-01T22:55:20.844000+00:00
119,970458433000190032,Lmao jk,521773668318314527,2022-05-01T22:55:20.673000+00:00
120,970458421432291338,I got my work cut out fot me,648235365039341589,2022-05-01T22:55:17.915000+00:00
121,970458410837487706,God dam,648235365039341589,2022-05-01T22:55:15.389000+00:00
122,970458399546421348,😈,521773668318314527,2022-05-01T22:55:12.697000+00:00
123,970458373562695720,100,521773668318314527,2022-05-01T22:55:06.502000+00:00
124,970458316302073936,To be a tenkai whale?,648235365039341589,2022-05-01T22:54:52.850000+00:00
125,970458302871920700,How many do i need?,648235365039341589,2022-05-01T22:54:49.648000+00:00
126,970458256482926622,<@&970457800679497728> 👀,218063794700550144,2022-05-01T22:54:38.588000+00:00
127,970454861600677978,,353753455992635392,2022-05-01T22:41:09.185000+00:00
