,Msg_id,Chat_msg,Author_id,Time_stamp
0,988231609390104616,the mountain,473091624159674379,2022-06-19T23:59:36.134000+00:00
1,988231494256443432,ill personally move myself to a cell tower if the mountain happens to have none,758317598429020211,2022-06-19T23:59:08.684000+00:00
2,988231474274775051,He's ready,875804290327912498,2022-06-19T23:59:03.920000+00:00
3,988231466804719626,<@473091624159674379> What for real,567101111060660246,2022-06-19T23:59:02.139000+00:00
4,988231404343148584,bring the mutator tickets <a:_kid_:984585655151648818>,473091624159674379,2022-06-19T23:58:47.247000+00:00
5,988231324018028544,It's getting busier in here now,567101111060660246,2022-06-19T23:58:28.096000+00:00
6,988231114143432734,yes,245650584798101504,2022-06-19T23:57:38.058000+00:00
7,988231047911202838,can still get a mutator!?!?,964503792697610270,2022-06-19T23:57:22.267000+00:00
8,988231009000640522,pick a mountain with a cell tower,245650584798101504,2022-06-19T23:57:12.990000+00:00
9,988230884543057940,"gonna be hiking around mint, hoping reception pulls thru",758317598429020211,2022-06-19T23:56:43.317000+00:00
10,988230870248849458,"i think I got too confused on the mutatot and missed out
that's a me problem tholol",964503792697610270,2022-06-19T23:56:39.909000+00:00
11,988230848870514759,They end tomorrow morning,875804290327912498,2022-06-19T23:56:34.812000+00:00
12,988230716573769749,too late to get a mutator ? 😂,922546661581021204,2022-06-19T23:56:03.270000+00:00
13,988230670507728906,Anyone get a tiger today?,359954100395311104,2022-06-19T23:55:52.287000+00:00
14,988230588534251591,i know a guy,245650584798101504,2022-06-19T23:55:32.743000+00:00
15,988230566228951081,"I am so stoked for this project
mad potential!!!",964503792697610270,2022-06-19T23:55:27.425000+00:00
16,988230490664353832,autochanges to your timezone,245650584798101504,2022-06-19T23:55:09.409000+00:00
17,988230484016377947,1 mint per person right,705319381764407316,2022-06-19T23:55:07.824000+00:00
18,988230482305101884,Deal,875804290327912498,2022-06-19T23:55:07.416000+00:00
19,988230431323340881,If I can't mint a cow tomorrow I'm buying one in real life. Enough is enough,449623048505786369,2022-06-19T23:54:55.261000+00:00
20,988230423706497075,<a:kittyvibe:965194574953873438>,705319381764407316,2022-06-19T23:54:53.445000+00:00
21,988230416412594226,How many left for public?,450266079516819456,2022-06-19T23:54:51.706000+00:00
22,988230411748528208,Hey has anyone tried to mint on SOLport on mobile?,173509829443190785,2022-06-19T23:54:50.594000+00:00
23,988230369558024282,sir minting is 12 est or utc?,847425191176437830,2022-06-19T23:54:40.535000+00:00
24,988230235386429502,1,245650584798101504,2022-06-19T23:54:08.546000+00:00
25,988230191245578251,How  many mints for wl?,712288963049553992,2022-06-19T23:53:58.022000+00:00
26,988230140142190653,Fkn yeeet. Jagged a mythic yeah tiger,359954100395311104,2022-06-19T23:53:45.838000+00:00
27,988230129060806727,Lfg,339957866725113856,2022-06-19T23:53:43.196000+00:00
28,988229989881229392,Wl me,837431176955297812,2022-06-19T23:53:10.013000+00:00
29,988229794636386334,gm is minting is 12 utc or est guys?,847425191176437830,2022-06-19T23:52:23.463000+00:00
30,988229675358752808,where do we put wallet ?,506085790384914444,2022-06-19T23:51:55.025000+00:00
31,988229427659956305,i bought ath 3.5 i am stupid,506085790384914444,2022-06-19T23:50:55.969000+00:00
32,988229397020561428,thx i am at a loose rn tho,506085790384914444,2022-06-19T23:50:48.664000+00:00
33,988229350761566259,"Nice beaver fam, I’m holding some as well",445958487776690177,2022-06-19T23:50:37.635000+00:00
34,988229289075953704,How can I submit wallet,445958487776690177,2022-06-19T23:50:22.928000+00:00
35,988229259929714709,you have,506085790384914444,2022-06-19T23:50:15.979000+00:00
36,988229204380356648,Yo how can I check wl,445958487776690177,2022-06-19T23:50:02.735000+00:00
37,988228750456016906,and what does launching a validator mean in simple terms ? like a new blockchain launch ?,506085790384914444,2022-06-19T23:48:14.511000+00:00
38,988228507639369799,"1. Lauching a validator (validators are what run the Solana blockchain)
2. Developing an NFT review site where users can review-to-earn",875804290327912498,2022-06-19T23:47:16.619000+00:00
39,988228295655059506,"whats the utility ?
i dont understamd",506085790384914444,2022-06-19T23:46:26.078000+00:00
40,988228232325255299,.,506085790384914444,2022-06-19T23:46:10.979000+00:00
41,988228217796182017,<:cowish:981754264210784336>,690994047279431680,2022-06-19T23:46:07.515000+00:00
42,988228031594242128,Us too!! <a:partyparrot:981757006702608437> <a:partyparrot:981757006702608437>,875804290327912498,2022-06-19T23:45:23.121000+00:00
43,988227612058988564,Yooo excited for mint <:pepeheart:953254391387914260>,331482387290783745,2022-06-19T23:43:43.096000+00:00
44,988226642432393296,sup,445958487776690177,2022-06-19T23:39:51.919000+00:00
45,988226390581190657,,449623048505786369,2022-06-19T23:38:51.873000+00:00
46,988225266298011668,yo,319912778473275392,2022-06-19T23:34:23.823000+00:00
47,988223739604914227,,959767883733422141,2022-06-19T23:28:19.831000+00:00
48,988223246665129994,https://tenor.com/view/you-betcha-eh-canadian-canada-minnesota-gif-16819085,748243999051219037,2022-06-19T23:26:22.305000+00:00
49,988222666915856384,https://tenor.com/view/bob-doug-bob-and-doug-bob-and-doug-mc-kenzie-strange-brew-gif-15074415,473091624159674379,2022-06-19T23:24:04.082000+00:00
50,988222562850971708,what about strange brew?,473091624159674379,2022-06-19T23:23:39.271000+00:00
51,988222544941293588,Lol mentally stimulating entertainment,875804290327912498,2022-06-19T23:23:35.001000+00:00
52,988222402859270164,https://tenor.com/view/fart-bikes-letter-kenny-wayne-farts-gif-15236314,748243999051219037,2022-06-19T23:23:01.126000+00:00
53,988222326040559666,"Yeah I've heard it is very Canadian, also haven't watched haha",875804290327912498,2022-06-19T23:22:42.811000+00:00
54,988222235095490580,What’s about letter Kenny,748243999051219037,2022-06-19T23:22:21.128000+00:00
55,988222213675188274,good show depending on what you find funny lol,473091624159674379,2022-06-19T23:22:16.021000+00:00
56,988222151444267008,Ah duh😂,748243999051219037,2022-06-19T23:22:01.184000+00:00
57,988222130602782781,theyre all canadian,473091624159674379,2022-06-19T23:21:56.215000+00:00
58,988222104702971974,"I've never even watched, is it set in Canada haha?",875804290327912498,2022-06-19T23:21:50.040000+00:00
59,988221978165002240,rip lahey,473091624159674379,2022-06-19T23:21:19.871000+00:00
60,988221858992246834,https://tenor.com/view/bubbles-trailer-park-boys-tpb-ricky-julian-gif-16471262,875804290327912498,2022-06-19T23:20:51.458000+00:00
61,988221723449106432,,473091624159674379,2022-06-19T23:20:19.142000+00:00
62,988221559430873128,took me some time there,473091624159674379,2022-06-19T23:19:40.037000+00:00
63,988221503189450752,the trailerpark,473091624159674379,2022-06-19T23:19:26.628000+00:00
64,988221487183966239,What’s Sunnyvale,748243999051219037,2022-06-19T23:19:22.812000+00:00
65,988221439532470322,btw,473091624159674379,2022-06-19T23:19:11.451000+00:00
66,988221425695481896,jake and yaz live in sunnyvale,473091624159674379,2022-06-19T23:19:08.152000+00:00
67,988221373262491718,https://tenor.com/view/abell46s-reface-gafas-como-asi-gif-18912801,748243999051219037,2022-06-19T23:18:55.651000+00:00
68,988221284372611152,Thanks 🙏🏼,875804290327912498,2022-06-19T23:18:34.458000+00:00
69,988221234489720873,Good luck tomorrow! wagmi..,816491381655994410,2022-06-19T23:18:22.565000+00:00
70,988221116248129556,Yeah we closed submissions because wallets are submitted!,875804290327912498,2022-06-19T23:17:54.374000+00:00
71,988221038011756544,"Great thanks, the reason I asked is I no longer see it on my dashboard for BSL",816491381655994410,2022-06-19T23:17:35.721000+00:00
72,988220831001903135,"Nope, as long as you submitted on mercury you are good",875804290327912498,2022-06-19T23:16:46.366000+00:00
73,988220775641276506,Is there anything we need to do for wallet submission for tomorrow?,816491381655994410,2022-06-19T23:16:33.167000+00:00
74,988220275478892574,Ready to mint!,882756027320266762,2022-06-19T23:14:33.919000+00:00
75,988220261897740368,,875804290327912498,2022-06-19T23:14:30.681000+00:00
76,988220174199029800,Gm,876172020772130846,2022-06-19T23:14:09.772000+00:00
77,988220096390512721,still #cowish,614466956392661012,2022-06-19T23:13:51.221000+00:00
78,988219985514078319,,276696477705961472,2022-06-19T23:13:24.786000+00:00
79,988219074347687976,Ok,154281717321039872,2022-06-19T23:09:47.547000+00:00
80,988219059189469184,"<@154281717321039872> 6,666",567101111060660246,2022-06-19T23:09:43.933000+00:00
81,988219051639705631,6666,473091624159674379,2022-06-19T23:09:42.133000+00:00
82,988219031037284432,Hi,473802688182878218,2022-06-19T23:09:37.221000+00:00
83,988218987533991986,supply?,154281717321039872,2022-06-19T23:09:26.849000+00:00
84,988218918168567850,"The risk can be just as big as the reward, but the risk/loss always hurts more.",567101111060660246,2022-06-19T23:09:10.311000+00:00
85,988218754708172831,<@237375085718142979> never put all your eggs in one basket,567101111060660246,2022-06-19T23:08:31.339000+00:00
86,988218698684858479,i feel like ive already went though all the music on spotify,473091624159674379,2022-06-19T23:08:17.982000+00:00
87,988218533886459954,to announce mint,473091624159674379,2022-06-19T23:07:38.691000+00:00
88,988218506111754261,trailer park boys live,473091624159674379,2022-06-19T23:07:32.069000+00:00
89,988218404441817118,Might be able to get Bieber too,875804290327912498,2022-06-19T23:07:07.829000+00:00
90,988218228826325042,Yeah every Canadian knows drake personally,875804290327912498,2022-06-19T23:06:25.959000+00:00
91,988218110538567761,drake?,473091624159674379,2022-06-19T23:05:57.757000+00:00
92,988217975695876166,I might just buy more,237375085718142979,2022-06-19T23:05:25.608000+00:00
93,988217972998942740,I have connections to pull a musical act during mint tomorrow,875804290327912498,2022-06-19T23:05:24.965000+00:00
94,988217920821792778,Bc I went all in on a project and it was rugged today,237375085718142979,2022-06-19T23:05:12.525000+00:00
95,988217882703982593,I’m trying to figure out how to get 2SOL,237375085718142979,2022-06-19T23:05:03.437000+00:00
96,988217717242859581,Moooooo,196363936700956672,2022-06-19T23:04:23.988000+00:00
97,988217434446123048,https://tenor.com/view/jerry-seinfeld-stand-up-stand-up-comedian-show-gif-17268262,473091624159674379,2022-06-19T23:03:16.564000+00:00
98,988217402376454184,Gm gm,381336056915820544,2022-06-19T23:03:08.918000+00:00
99,988217241151610941,https://tenor.com/view/lets-go-ugh-kid-hyped-excited-gif-13907860,816491381655994410,2022-06-19T23:02:30.479000+00:00
100,988217240568610816,Open mic haha? A spaces?,875804290327912498,2022-06-19T23:02:30.340000+00:00
101,988217240254054400,"cool, just a quick acknowledgement was enough.. will wait patiently now! Thanks ❤️",167495794834931712,2022-06-19T23:02:30.265000+00:00
102,988217239373238352,"I don't believe so, but the Taiyo team would be the ones to ask about that",245650584798101504,2022-06-19T23:02:30.055000+00:00
103,988217164756570112,thanks! ❤️,167495794834931712,2022-06-19T23:02:12.265000+00:00
104,988217154421809152,we are getting to tickets in order!,245650584798101504,2022-06-19T23:02:09.801000+00:00
105,988217141310398575,I’ll check tickets shortly!,875804290327912498,2022-06-19T23:02:06.675000+00:00
106,988217102227869746,what is this open mic,473091624159674379,2022-06-19T23:01:57.357000+00:00
107,988217080799174727,my messages are invisible? 😦,167495794834931712,2022-06-19T23:01:52.248000+00:00
108,988217015980421130,do we need to do anything if we bought a wl w SCRAP?,805866641152802826,2022-06-19T23:01:36.794000+00:00
