,Msg_id,Chat_msg,Author_id,Time_stamp
0,940034118333395015,sick helmet,930176128986017893,2022-02-06T23:59:58.800000+00:00
1,940034068509261834,,783139289411747910,2022-02-06T23:59:46.921000+00:00
2,940034058929467432,"The Submarine marketplace will launch in Q2 of this year. After Aqua Apes sells out, we will be listing Aqua Apes on Magic Eden.",934503890953580545,2022-02-06T23:59:44.637000+00:00
3,940033998497931274,yes,930176128986017893,2022-02-06T23:59:30.229000+00:00
4,940033817010405376,or just wait for sub market place,930176128986017893,2022-02-06T23:58:46.959000+00:00
5,940033770164219995,will the market place be ready after sellout?,763659874923708447,2022-02-06T23:58:35.790000+00:00
6,940033734370017342,Would Opensea be an option as a second market if they add Phantom wallet. Leaks says it can happen any time soon,456226577798135808,2022-02-06T23:58:27.256000+00:00
7,940033701490868244,wow super bullish,919643195174965280,2022-02-06T23:58:19.417000+00:00
8,940033688559833088,itd be good for volume yes,540326885918375936,2022-02-06T23:58:16.334000+00:00
9,940033674882207806,We are not listing Aqua Apes on SolSea. The listings on SolSea are a scam.,934503890953580545,2022-02-06T23:58:13.073000+00:00
10,940033629101371422,which is good,930176128986017893,2022-02-06T23:58:02.158000+00:00
11,940033613712470096,under mint price,930176128986017893,2022-02-06T23:57:58.489000+00:00
12,940033572075622461,Can we not buy off solsea right now ?,766617149346545665,2022-02-06T23:57:48.562000+00:00
13,940033442211581952,"Ok great, I think you guys should have dedicated channel on discord where we can check updates and so on",342102998027337729,2022-02-06T23:57:17.600000+00:00
14,940033440110239744,think ME prlly gunna keep fucking up during that time tbh,540326885918375936,2022-02-06T23:57:17.099000+00:00
15,940033319104552980,Would be good to get these out ASAP tbh whilst people still dont rate ME,882351250094563360,2022-02-06T23:56:48.249000+00:00
16,940033288691679313,"Ok guys im hibernating for now we can talk in a few days , weeks , months whatever !",279770042667761665,2022-02-06T23:56:40.998000+00:00
17,940033229463896104,Hey,876035306783117312,2022-02-06T23:56:26.877000+00:00
18,940033155438616616,"hey everybody, looks interesting those aqua apes! only one thing, why not a doxxed team?? <@!934503890953580545>",903624598858383360,2022-02-06T23:56:09.228000+00:00
19,940033141115060244,Quarters of the year. Basically market launch should be in Q2 (April-May or June),342102998027337729,2022-02-06T23:56:05.813000+00:00
20,940033105773887580,Around that time,456226577798135808,2022-02-06T23:55:57.387000+00:00
21,940033097192321065,"In the months between Aqua Apes selling out and the Submarine NFT marketplace launching, we will be posting development updates, videos showcasing exciting features, and spending money on advertising to encourage people to check out Aqua Apes and Submarine. Furthermore, Aqua Apes will offer legendary utility for holders to look forward to.",934503890953580545,2022-02-06T23:55:55.341000+00:00
22,940033094755418196,<@!766617149346545665>,279770042667761665,2022-02-06T23:55:54.760000+00:00
23,940033074077528135,April may and june is when the market is out?,456226577798135808,2022-02-06T23:55:49.830000+00:00
24,940033056117501992,951 rare,458396824043126805,2022-02-06T23:55:45.548000+00:00
25,940032999100125194,"Q2 it’s may, June",294785496222269440,2022-02-06T23:55:31.954000+00:00
26,940032967886131201,<@!766617149346545665>,458396824043126805,2022-02-06T23:55:24.512000+00:00
27,940032955571666944,I will post the video in an announcment!,188136774164414464,2022-02-06T23:55:21.576000+00:00
28,940032948357431327,common 3567,458396824043126805,2022-02-06T23:55:19.856000+00:00
29,940032942783234139,<@!766617149346545665>,279770042667761665,2022-02-06T23:55:18.527000+00:00
30,940032939968839680,Can you check 4807 too pls,766617149346545665,2022-02-06T23:55:17.856000+00:00
31,940032939696209981,looks good,540326885918375936,2022-02-06T23:55:17.791000+00:00
32,940032932276486146,check rarity,930176128986017893,2022-02-06T23:55:16.022000+00:00
33,940032878501298176,Good mint?? What yall think??,679128139229822978,2022-02-06T23:55:03.201000+00:00
34,940032847811588096,google can,929112610899640430,2022-02-06T23:54:55.884000+00:00
35,940032807839887400,"Can some1 explain, Q1,Q2 etc",456226577798135808,2022-02-06T23:54:46.354000+00:00
36,940032784746020864,1855,766617149346545665,2022-02-06T23:54:40.848000+00:00
37,940032777208873020,massive W from the submarine owner. Only good take of the whole ME talk 💀,808083788319817800,2022-02-06T23:54:39.051000+00:00
38,940032775321436190,"No, launchpad 
Marketplace q2",872070144371851284,2022-02-06T23:54:38.601000+00:00
39,940032755935346719,Nice ser go 💪,547007962183630849,2022-02-06T23:54:33.979000+00:00
40,940032703888228393,They’ll make announcement soon,644249769090351137,2022-02-06T23:54:21.570000+00:00
41,940032690038636654,"Mf water everywhere on the course I played. Hit every fairway on the driver so happy with that, shanked some lay ups and bad short play but tbf I’m playing golf on a beautiful Sunday in the Caribbean sun, life could be fucking worse",833405057759838268,2022-02-06T23:54:18.268000+00:00
42,940032667141951508,ofc there is,930176128986017893,2022-02-06T23:54:12.809000+00:00
43,940032661236383794,the market will be ready around september?,294785496222269440,2022-02-06T23:54:11.401000+00:00
44,940032602281242674,"I know everyone is pumped now that we are closing to sell out but what are the next steps? The roadmap on the website says next phase is ""launch marketplace in Q2"". What you guys plan to do in between? Is there any to do list?",342102998027337729,2022-02-06T23:53:57.345000+00:00
45,940032602226716733,Hyped for second market,456226577798135808,2022-02-06T23:53:57.332000+00:00
46,940032594609844224,NOOOW,929112610899640430,2022-02-06T23:53:55.516000+00:00
47,940032556710109195,We gonna get sold out till tmrw,456226577798135808,2022-02-06T23:53:46.480000+00:00
48,940032554289995777,Dam we about to sell out 👀,644249769090351137,2022-02-06T23:53:45.903000+00:00
49,940032548950642779,<@!766617149346545665> i can check it for u id ?,279770042667761665,2022-02-06T23:53:44.630000+00:00
50,940032545075126284,is rarity up,141601984414220288,2022-02-06T23:53:43.706000+00:00
51,940032540310392872,same,458396824043126805,2022-02-06T23:53:42.570000+00:00
52,940032527429689355,Love this community!,823495596185878539,2022-02-06T23:53:39.499000+00:00
53,940032521196949504,lol well i didnt get as lucky but oh well lol,540326885918375936,2022-02-06T23:53:38.013000+00:00
54,940032507259265055,No one should list below 5 solana pleaseee,872070144371851284,2022-02-06T23:53:34.690000+00:00
55,940032490486259732,,443919280967385119,2022-02-06T23:53:30.691000+00:00
56,940032476271763466,I can’t see the pic tho,766617149346545665,2022-02-06T23:53:27.302000+00:00
57,940032456977969192,rare rank 1548,458396824043126805,2022-02-06T23:53:22.702000+00:00
58,940032451298873384,just over 500,930176128986017893,2022-02-06T23:53:21.348000+00:00
59,940032434144161854,yes!!!,443919280967385119,2022-02-06T23:53:17.258000+00:00
60,940032418537164860,How many left,644249769090351137,2022-02-06T23:53:13.537000+00:00
61,940032405710962739,!rarity collection aquaapes (#id),279770042667761665,2022-02-06T23:53:10.479000+00:00
62,940032354825691156,"I know Rogue Sharks don’t have hype but they were my first big mint and I have never changed my pfp, sticking to it. Love my shark bro 🤷‍♂️😂",833405057759838268,2022-02-06T23:52:58.347000+00:00
63,940032339042529311,Why can’t I see pic when bot@respondes,766617149346545665,2022-02-06T23:52:54.584000+00:00
