,Chat_msg,sentiment,sent
1,chats are now closed family talk to you in a couple of hours wagmi,0,
5,woopwoop,-1,1
9,woopwoop,-1,1
12, ,0,
17,                                                                       ,0,
19,woop woop see you after magic have took place,0,1
20,bullish,-1,-1
21,                 ,0,
22,good mint everyone,1,1
23,see you on the other side,0,
27,  see you,0,
28,pretty sure airdrops are done you may need to check out fff,1,
29,am i the only one who hasnt received the token yet,-1,-1
31,lfg,0,1
32,mint it,0,1
33,k,0,
38,hi,0,
39,so many of you       ,0,
41,same to u,0,
43,a fellow cat meow ser,0,
44,meow meow,0,
45,happy minting everyone   ,1,1
46,meow,0,
47,so fking excited,1,1
48, mins for relax and rest from the keyboard,0,1
51,hahahah lfg welcome back one more time    ,1,1
52,thanks accidentally purged the discord when clearing out my  limit  ,-1,
54,woopwoop,-1,1
55,see you guys on the flip side almost,0,1
56,welcome back ,1,
57,hello guys we are closing the chat in  mints to prevent people posting fake minting links,0,0
58,aaaand i m back,1,
59,tik tok tik tok,0,1
60,     ,0,
67,in  hours and  minutes,0,1
68,  what time is the mint to make sure i have the sols,0,1
69,thanks fam we are genie fam   ,1,1
70,woopwoop,-1,1
71,whos excited  ,1,1
72,get it out on socials after you mint fam,0,1
73,i think this art will be a sight to be seen,1,1
74,hi fam,0,
75,yoo,0,
77, can you help me with the ticket pls,0,0
78,woopwoop,-1,1
80,hello,0,
81,thanks mate done,1,
82,your pfp boho looks great,1,
83,hi,0,
84,hey hey  ,0,
85,hey,0,
86,hi here,0,
87,will be in  later,0,
88,sir mint link,0,1
89,for anyone whos lookin for the wl here is the token address you can buy it from fff    the token address of the talisman is ,0,1
90,i buy it like  days ago,0,
91,hello,0,
92,cool,1,
94,i did not get my collab airdrop yet should i panic,-1,-1
95,check twitter ,0,
96,i have token so am one of them haha,0,1
97,if you want to buy wl token its on fff,0,1
98,still  for wl mint,0,1
99, hours  mins till mint baby,0,1
100,how many minutes,0,1
101,indeed it is keep your eyes on ,0,1
102,any chance to get wl ,0,1
103,soon on ,0,1
104,website mint,0,1
105,yo,0,
106,we  never list,0,
107,i  read but i didnt understand what these bottle use for,-1,-1
108,hold ofc,0,1
110,in order to hold or flip,0,1
111,but market is a bitch,-1,-1
113, ,0,
114,those all are diamond hands,0,1
115,i like the prospects given boho holders have about  of the wl,1,1
117,good reviews to mint fabulosa ,1,1
118,nope,0,
119,i wouldnt go that far as to guarantee,0,
120,this nft bottle has collection,0,
121,thanks buddy,1,
123,my mans a whale here   wow congratulations,1,1
124, sure profits ,0,1
126,holding or flipping,0,1
127, minutes right,0,1
128,tes,0,
129,top level project,0,1
130, ,0,
131,max profits,0,1
132,whaaaaat  ,0,0
133,whats up buddies,0,
134,for what purpose,0,
135,go to moon ,0,1
137,yeah  fabulosas,0,1
138,test,0,
139,ready to mint   ,0,1
140,lfg,0,1
141,yo wassup,0,
142,im starting to see fabulosa on some of my alpha groups    ,0,
143,yo rohit  ,0,
144,wen wl,0,1
145, sir will fabulosa dao be different,0,
146, ,0,
147,fects,0,
148,all set,0,
149,lfg,0,
151,if we ever mange to reach public    just saying,0,
152,ye if you planning to mint cheaper not to wait public and buy on fff,0,1
153,go get them all     ,0,
154,cheaper than public still,0,1
155,damn,-1,
156, i think,0,
157,what is token fp,0,
158,lets fkin goooooooo,0,1
159, for me  ,0,
160,the token looks  ,0,
161, public mint,0,
162,that s good,1,1
163, ,0,
164,ok,0,
165,sorry checked announcements now,0,
166,ahhh i see,0,
167, with talisman,0,
168,talisman token correct so what will the mint price be,0,
169, cover a lot of peoples questions,0,
170,correct,0,
171,aiit,0,
