,Msg_id,Chat_msg,Author_id,Time_stamp
0,9.96204E+17,<#950504611293323364>,4.6885E+17,2022-07-11T23:59:40.055000+00:00
1,9.96204E+17,that's definitely a weird one! I'd put that info into a ticket 👍,4.6885E+17,2022-07-11T23:59:37.584000+00:00
2,9.96203E+17,yes!,4.6885E+17,2022-07-11T23:55:29.765000+00:00
3,9.96202E+17,Mint 🙂,5.74062E+17,2022-07-11T23:52:22.352000+00:00
4,9.96202E+17,I get all sorts of dms all day 😅,4.6885E+17,2022-07-11T23:51:31.978000+00:00
5,9.96202E+17,"I think those are your settings, send me a friend request 🙂",4.6885E+17,2022-07-11T23:51:03.989000+00:00
6,9.96202E+17,"You will not be able to send image messages to you.

Settings for friends only?",8.46167E+17,2022-07-11T23:50:41.814000+00:00
7,9.96201E+17,send me the photo in DM!,4.6885E+17,2022-07-11T23:46:37.259000+00:00
8,9.96201E+17,I'm batch1.,8.46167E+17,2022-07-11T23:46:07.969000+00:00
9,9.96201E+17,"It was 10 mistakes.
However, the email is correct.
I can't upload photos here",8.46167E+17,2022-07-11T23:45:39.224000+00:00
10,9.962E+17,lol,4.6885E+17,2022-07-11T23:41:56.868000+00:00
11,9.962E+17,or buy off secondary,4.6885E+17,2022-07-11T23:41:55.938000+00:00
12,9.962E+17,ready to mint!?,4.6885E+17,2022-07-11T23:41:46.978000+00:00
13,9.96199E+17,are you sure it didn't just say 1? 👀,4.6885E+17,2022-07-11T23:40:42.687000+00:00
14,9.96199E+17,there is no batch 11,4.6885E+17,2022-07-11T23:40:22.494000+00:00
15,9.96199E+17,"<@468849902219296779> 
I received an email yesterday saying that batch1 can be mint today.
However, when I connect to the mint site, it is batch11.
Which is correct?",8.46167E+17,2022-07-11T23:40:09.203000+00:00
16,9.96199E+17,Hi,5.74062E+17,2022-07-11T23:39:02.816000+00:00
17,9.96198E+17,<a:wave:928578172671393862>,4.6885E+17,2022-07-11T23:35:21.058000+00:00
18,9.96197E+17,hey,6.20927E+17,2022-07-11T23:32:01.493000+00:00
19,9.96196E+17,see you later!,4.6885E+17,2022-07-11T23:27:20.466000+00:00
20,9.96196E+17,Nice. It's a great event ahead. Bye mate. Love the atmosphere and maturity in here🌹,8.42187E+17,2022-07-11T23:26:37.199000+00:00
21,9.96196E+17,<a:OH_HYPERbounce:965626136669331486>,4.6885E+17,2022-07-11T23:26:05.683000+00:00
22,9.96196E+17,Yessssssss!,8.42187E+17,2022-07-11T23:25:52.603000+00:00
23,9.96196E+17,haha good luck! I also need sleep tonight at some point...not sure when though,4.6885E+17,2022-07-11T23:25:47.597000+00:00
24,9.96196E+17,Looking forward to see all of you with your own unique fighter dragon pfp very soon :Fire:,9.01435E+17,2022-07-11T23:25:31.764000+00:00
25,9.96196E+17,I need to go get some sleep now. Cus it's gonna very early in the morning here when minting starts.  I must be awake before minting starts! Can't miss any part!!!!,8.42187E+17,2022-07-11T23:25:20.011000+00:00
26,9.96195E+17,Hahaha you are the best community,9.01435E+17,2022-07-11T23:25:05.469000+00:00
27,9.96195E+17,💪 🐲,4.6885E+17,2022-07-11T23:24:15.564000+00:00
28,9.96195E+17,We are gonna make it❤️,8.42187E+17,2022-07-11T23:23:56.392000+00:00
29,9.96195E+17,hahaha,4.6885E+17,2022-07-11T23:22:32.658000+00:00
30,9.96195E+17,Thanks sm,2.81966E+17,2022-07-11T23:22:17.203000+00:00
31,9.96195E+17,public is 6 hours after wl starts,4.6885E+17,2022-07-11T23:22:10.220000+00:00
32,9.96195E+17,you can check your time zone here,4.6885E+17,2022-07-11T23:22:01.488000+00:00
33,9.96195E+17,Haha....they will spend it on buying fighters behind your back mate,8.42187E+17,2022-07-11T23:21:56.809000+00:00
34,9.96194E+17,hi,8.39431E+17,2022-07-11T23:21:15.732000+00:00
35,9.96194E+17,What time would public be in bst,2.81966E+17,2022-07-11T23:21:14.928000+00:00
36,9.96194E+17,"maybe I can send a family member half my sol, tell them to release it later",4.6885E+17,2022-07-11T23:21:08.820000+00:00
37,9.96194E+17,What do we do?,8.42187E+17,2022-07-11T23:20:44.415000+00:00
38,9.96194E+17,I really don't know how I'll stop myself,4.6885E+17,2022-07-11T23:20:16.445000+00:00
39,9.96194E+17,Cus there is no way I ain't spending all my sol on those fighters,8.42187E+17,2022-07-11T23:20:00.687000+00:00
40,9.96194E+17,💯,4.6885E+17,2022-07-11T23:19:43.948000+00:00
41,9.96194E+17,hahaha,4.6885E+17,2022-07-11T23:19:34.027000+00:00
42,9.96194E+17,<:PES_HahaLol:642741024774553611>,8.39258E+17,2022-07-11T23:19:33.173000+00:00
43,9.96194E+17,nope its go broke and rebuild each week man its all we can do,8.39258E+17,2022-07-11T23:19:25.107000+00:00
44,9.96194E+17,This is really an important question to ask,8.42187E+17,2022-07-11T23:19:17.714000+00:00
45,9.96194E+17,So simple,8.42187E+17,2022-07-11T23:18:19.827000+00:00
46,9.96194E+17,<a:pepeLaugh:977172018795511818>,4.6885E+17,2022-07-11T23:17:54.908000+00:00
47,9.96193E+17,how am I supposed to save sol for later batches? what mechanisms do you have in place to stop me from buying Fighters until I'm broke?,4.6885E+17,2022-07-11T23:16:56.821000+00:00
48,9.96193E+17,I have an important question for the team....,4.6885E+17,2022-07-11T23:16:27.602000+00:00
49,9.96193E+17,sup Mark,4.6885E+17,2022-07-11T23:14:14.433000+00:00
50,9.96192E+17,HI,8.63139E+17,2022-07-11T23:10:54.145000+00:00
51,9.96191E+17,💯,9.6918E+17,2022-07-11T23:08:06.181000+00:00
52,9.96191E+17,thank you!,8.16892E+17,2022-07-11T23:06:16.821000+00:00
53,9.9619E+17,sup dude 👋,4.6885E+17,2022-07-11T23:04:19.472000+00:00
54,9.9619E+17,not lying 😆,4.6885E+17,2022-07-11T23:04:15.882000+00:00
55,9.9619E+17,"tuesday should be the same time, 10 am CET",4.6885E+17,2022-07-11T23:03:53.517000+00:00
56,9.96189E+17,This will be amazing,7.78885E+17,2022-07-11T22:59:48.299000+00:00
