,Msg_id,Chat_msg,Author_id,Time_stamp
0,924438689621356544,excited about this MINT,558037705733308427,2021-12-25T23:09:18.846000+00:00
1,924432077078818837,i fear you will have to wait till the public mint,304371807119605761,2021-12-25T22:43:02.293000+00:00
2,924432016412405830,unfortunately the whitelist has been closed,304371807119605761,2021-12-25T22:42:47.829000+00:00
3,924431880911192104,mint starts tomorrow! Check https://nft.lifinity.io/ for a countdown,304371807119605761,2021-12-25T22:42:15.523000+00:00
4,924429427696357417,👀,827105903106850856,2021-12-25T22:32:30.631000+00:00
5,924419375212163072,mint date?,456226577798135808,2021-12-25T21:52:33.932000+00:00
6,924411873036750849,+1,821991495740948530,2021-12-25T21:22:45.274000+00:00
7,924397291580833933,How do you get on the whitelist? is it to late?,879055852705833001,2021-12-25T20:24:48.784000+00:00
8,924396922393997394,Merry Christmas everyone!,879055852705833001,2021-12-25T20:23:20.763000+00:00
9,924380578789330975,anyone else hyped for mint day?,309702526092050432,2021-12-25T19:18:24.144000+00:00
10,924336706667290755,thank you!,707060646193397833,2021-12-25T16:24:04.215000+00:00
11,924333669659848704,"I was able to access it from my smart phone.
It may be a problem with my network...",803919808785154058,2021-12-25T16:12:00.136000+00:00
12,924333448406122506,Thank you very much.,803919808785154058,2021-12-25T16:11:07.385000+00:00
13,924332980422475856,"Hmm we'll check, thanks!",390366996623130625,2021-12-25T16:09:15.809000+00:00
14,924329454271082536,<@!390366996623130625> I did a hard refresh (CTRL+F5) but it did not show up.,803919808785154058,2021-12-25T15:55:15.109000+00:00
15,924328680942104576,Can you try a hard refresh?,390366996623130625,2021-12-25T15:52:10.733000+00:00
16,924327679438757889,<@!324695454304567297> <@!733202805388607548> <@!390366996623130625> <@!401225890039595009>  It seems that the SSL certificate for the site has expired.,803919808785154058,2021-12-25T15:48:11.956000+00:00
17,924324374448836621,one piece? wheres the treasure? where's Roger?,218740684612567040,2021-12-25T15:35:03.985000+00:00
18,924317265153917079,"We haven't published the exact formula we use for it, but at it's most simple level, taking SOL-USDC as an example, if there's less SOL in the pool than there is USDC, we make it more expensive to buy SOL and cheaper to buy USDC.",324695454304567297,2021-12-25T15:06:48.997000+00:00
19,924316125435666442,"We have been on video calls with well-established protocols on Solana, so we are not total anons. But we also aren't doxed. We have also consulted with well-known firm in crypto for legal matters, but there is no proof of it.",324695454304567297,2021-12-25T15:02:17.267000+00:00
20,924316046486306866,"<@!324695454304567297>
Can you give some insights on how the rebalancing would work?
Would love to read upon the dynamics of execution",726055386142212216,2021-12-25T15:01:58.444000+00:00
21,924315004340158514,"Yes, we'll take precautions",324695454304567297,2021-12-25T14:57:49.977000+00:00
22,924313970347749426,<@324695454304567297>  lock the chat 2 hours before mint?,393496265796747264,2021-12-25T14:53:43.454000+00:00
