,Msg_id,Chat_msg,Author_id,Time_stamp
0,926263110115934238,Maybe you need the https or something,830941636720197652,2021-12-30T23:58:54.588000+00:00
1,926263053933244426,"No, I didn't have a problem. Did you go from the link in <#915579076624924773> ?",830941636720197652,2021-12-30T23:58:41.193000+00:00
2,926256436168769616,<@401225890039595009> would have an answer I believe,117403698073698310,2021-12-30T23:32:23.395000+00:00
3,926256245961273495,how was this art generated? is it light exposure? its dope,613199316831436851,2021-12-30T23:31:38.046000+00:00
4,926253611816726629,fasho,613199316831436851,2021-12-30T23:21:10.017000+00:00
5,926253214469353472,1.5,117403698073698310,2021-12-30T23:19:35.282000+00:00
6,926252460404772914,yo what was mint price?,613199316831436851,2021-12-30T23:16:35.499000+00:00
7,926252429790547998,Anyone else getting this?,401083182801354773,2021-12-30T23:16:28.200000+00:00
8,926252405044150313,,401083182801354773,2021-12-30T23:16:22.300000+00:00
9,926250365060534292,"So all the mint fees of 15k sol go to the DAO wallet with 7.5k SOL and 7.5k USD will fully shake into the pool. 

There are no tokens emitted as a reward as per constant curve type AMMs like Raydium Farm or fusion pool. This will be equivalent to raydium permissionless pool. 

So the reward is 0.15%. So if you have 1000 usdc to exchange to sol the fee will be 1.5 usdc and vica versa it will be 0.15% of Sol if swapping the other way. So the DAO wallet lp token appreciates in value as portion of fees are added up into it. Team will likley take a snap shot of lp token Value each week and cash out the delta, then add to 5% royalty from the nft secondary sales and then split. Then half is used for buyback of NFTs and half is put back into LP pool and the cycle continues.",810247348802289695,2021-12-30T23:08:15.930000+00:00
10,926249003321012284,https://youtu.be/RVPOQQPyiGY,881278118864760872,2021-12-30T23:02:51.266000+00:00
11,926248497345364049,what is the goal of this Nft ?,316222631613562882,2021-12-30T23:00:50.632000+00:00
12,926242592717406208,https://www.youtube.com/channel/UCjZudVL7MF2kzNU5yMCJAKA,117403698073698310,2021-12-30T22:37:22.859000+00:00
13,926242440812326942,Try watching their YouTube ama,117403698073698310,2021-12-30T22:36:46.642000+00:00
14,926242303306248282,Trying to find out if it would be worth for me told or flip,592051462939476028,2021-12-30T22:36:13.858000+00:00
15,926242221584437288,I won a giveaway for 1 on twitter haha,592051462939476028,2021-12-30T22:35:54.374000+00:00
16,926241897717059667,"<@592051462939476028> read fast , it might be to late to enter when you will finish 😌",659474602556391436,2021-12-30T22:34:37.158000+00:00
17,926241533106196550,"Hit me up guys if you wanna know a really good flip to do on the 5th of january, good money to go, then buy more lifinities haha PM me",652879382569943083,2021-12-30T22:33:10.228000+00:00
18,926241078066180147,"Moonrank vs Howrare ranking, what u guys think?",815633100981796885,2021-12-30T22:31:21.738000+00:00
19,926240814911344691,<#925316163989282867> might be some help,117403698073698310,2021-12-30T22:30:18.997000+00:00
20,926240024297623612,?,592051462939476028,2021-12-30T22:27:10.500000+00:00
21,926240019432230912,Can anyone explain what this NFT actually provides owners>,592051462939476028,2021-12-30T22:27:09.340000+00:00
22,926238298131812462,give it a few days 😉,816131180604817419,2021-12-30T22:20:18.950000+00:00
23,926238223489982525,gm fam!,816131180604817419,2021-12-30T22:20:01.154000+00:00
24,926234234102890566,We need a nice sweep to get rid of this 3 sol wall,883391565622571068,2021-12-30T22:04:10.010000+00:00
25,926231123338600488,FOMO KICKS IN,856529046417833985,2021-12-30T21:51:48.346000+00:00
26,926226812164513843,Gm,648141421857210399,2021-12-30T21:34:40.482000+00:00
27,926226793269190716,You are welcome 👌,810247348802289695,2021-12-30T21:34:35.977000+00:00
28,926226383393419296,"thanks. I feel bad about not responding in some elaborate way, but you just made everything so clear",613215077222318090,2021-12-30T21:32:58.255000+00:00
29,926221095256875018,,117403698073698310,2021-12-30T21:11:57.465000+00:00
30,926220487330246676,really need a win badly...,463167411399557120,2021-12-30T21:09:32.524000+00:00
31,926220430619078708,decided to hold,463167411399557120,2021-12-30T21:09:19.003000+00:00
32,926220418438799370,i had a chance of selling it at like 5 ish,463167411399557120,2021-12-30T21:09:16.099000+00:00
33,926220372959981639,hopefully man,463167411399557120,2021-12-30T21:09:05.256000+00:00
34,926219866011234356,ok,463167411399557120,2021-12-30T21:07:04.390000+00:00
35,926219817613160458,GN,384731134682071041,2021-12-30T21:06:52.851000+00:00
36,926219785161822208,gn,463167411399557120,2021-12-30T21:06:45.114000+00:00
37,926219398644117534,gn fellow flare frens,507534792485765120,2021-12-30T21:05:12.961000+00:00
38,926219382097580102,aight I'm going to bed,507534792485765120,2021-12-30T21:05:09.016000+00:00
39,926219263692374026,sold it seems,507534792485765120,2021-12-30T21:04:40.786000+00:00
40,926218977825403002,The viking was also tempting but I see it just got either sold or delisted,507534792485765120,2021-12-30T21:03:32.630000+00:00
41,926218974914576404,"in all seriousness though keep hold, can see these doing well 🚀",449952324127948800,2021-12-30T21:03:31.936000+00:00
42,926218834736726036,ye,507534792485765120,2021-12-30T21:02:58.515000+00:00
43,926218813316407368,tempting eh,463167411399557120,2021-12-30T21:02:53.408000+00:00
44,926218764008190002,someone must have beat me to it 😢,449952324127948800,2021-12-30T21:02:41.652000+00:00
45,926218687655071824,its still not listed?,463167411399557120,2021-12-30T21:02:23.448000+00:00
46,926218684266061885,it looks so good,507534792485765120,2021-12-30T21:02:22.640000+00:00
